ADNP
ADNP2
AEBP1
AEBP2
AHCTF1
AHDC1
AHR
AKAP8
AKAP8L
AKNA
ANKZF1
AR
ARHGAP35
ARID2
ARID3A
ARID3B
ARID5B
ARNT
ARNT2
ARX
ASH1L
ATF1
ATF2
ATF3
ATF4
ATF6
ATF7
ATMIN
ATOH8
BACH1
BACH2
BAZ2A
BAZ2B
BBX
BCL11A
BCL6
BHLHE40
BHLHE41
BNC2
BPTF
BRF2
CAMTA1
CARF
CBX2
CC2D1A
CDC5L
CEBPB
CEBPD
CEBPG
CEBPZ
CENPA
CENPB
CENPS
CENPT
CENPX
CGGBP1
CHAMP1
CHCHD3
CIC
CLOCK
CREB1
CREB3
CREB3L1
CREB3L2
CREB3L4
CREB5
CREBL2
CREBZF
CREM
CSRNP1
CSRNP2
CSRNP3
CTCF
CUX1
CXXC1
CXXC4
CXXC5
DACH1
DDIT3
DEAF1
DMRTA1
DMRTA2
DMTF1
DNMT1
DNTTIP1
DOT1L
DR1
DRAP1
DZIP1
E2F1
E2F2
E2F3
E2F4
E2F5
E2F6
E2F7
E4F1
EEA1
EGR1
ELF1
ELF2
ELF3
ELF4
ELK1
ELK3
ELK4
EMX2
ESRRA
ETS1
ETS2
ETV1
ETV3
ETV4
ETV5
ETV6
FAM200B
FBXL19
FEZF2
FIZ1
FLI1
FLYWCH1
FOS
FOSL1
FOSL2
FOXC2
FOXJ1
FOXJ2
FOXJ3
FOXK1
FOXK2
FOXL1
FOXM1
FOXN2
FOXN3
FOXO1
FOXO3
FOXP1
FOXP4
GABPA
GATAD2A
GATAD2B
GLI2
GLI3
GLIS2
GLIS3
GLMP
GLYR1
GMEB1
GMEB2
GPBP1
GPBP1L1
GTF2B
GTF2I
GTF2IRD1
GTF2IRD2
GTF2IRD2B
GTF3A
GZF1
HBP1
HDX
HES1
HES4
HES6
HIC2
HIF1A
HINFP
HIVEP1
HIVEP2
HIVEP3
HMBOX1
HMG20A
HMG20B
HMGA1
HMGA2
HMGN3
HOMEZ
HSF1
HSF2
IKZF2
IKZF4
IKZF5
IRF1
IRF2
IRF3
IRF7
IRX3
IRX5
JAZF1
JDP2
JRK
JRKL
JUN
JUND
KAT7
KCMF1
KDM2A
KDM2B
KDM5B
KIN
KLF10
KLF11
KLF12
KLF13
KLF16
KLF3
KLF5
KLF6
KLF7
KMT2A
KMT2B
L3MBTL1
L3MBTL3
LCOR
LCORL
LEF1
LHX2
LIN28A
LIN28B
LIN54
LMX1A
MAF
MAFB
MAFF
MAFG
MAX
MAZ
MBD1
MBD2
MBD3
MBD4
MBD6
MBNL2
MECP2
MEF2A
MEF2C
MEF2D
MEIS1
MEIS2
MEIS3
MGA
MLX
MLXIP
MNT
MSANTD3
MSANTD4
MSX1
MSX2
MTERF1
MTERF2
MTERF3
MTERF4
MTF1
MTF2
MXD1
MXD3
MXD4
MXI1
MYBL1
MYBL2
MYC
MYCL
MYCN
MYNN
MYPOP
MYRF
MYSM1
MZF1
NACC2
NAIF1
NCOA1
NCOA2
NCOA3
NFAT5
NFATC3
NFATC4
NFE2L1
NFE2L2
NFE2L3
NFIA
NFIB
NFIL3
NFKB1
NFKB2
NFX1
NFXL1
NFYA
NFYB
NFYC
NKRF
NME2
NPAS3
NR1D2
NR1H2
NR1H3
NR2C1
NR2C2
NR2E1
NR2F1
NR2F2
NR2F6
NR3C1
NR6A1
NRF1
OTX1
OTX2
PA2G4
PATZ1
PAX3
PAX6
PBX1
PBX2
PBX3
PCGF2
PCGF6
PHF1
PHF19
PHF20
PHF21A
PIN1
PKNOX1
PLAG1
PLAGL1
PLAGL2
PLSCR1
POGK
POU2F1
POU2F2
POU3F2
POU3F3
PPARA
PPARD
PRDM10
PRDM15
PRDM2
PRDM4
PRDM5
PREB
PRMT3
PURA
PURB
PURG
RBAK
RBCK1
RBPJ
RBSN
REL
RELA
RELB
REPIN1
REST
REXO4
RFX2
RFX3
RFX4
RFX5
RFX7
RLF
RREB1
RUNX2
RXRA
RXRB
SAFB
SAFB2
SALL1
SALL2
SALL4
SCMH1
SETBP1
SETDB1
SETDB2
SGSM2
SIX3
SIX4
SIX5
SKI
SKIL
SLC2A4RG
SMAD1
SMAD3
SMAD4
SMAD5
SMYD3
SNAI2
SNAPC2
SNAPC4
SNAPC5
SON
SOX1
SOX11
SOX12
SOX13
SOX2
SOX21
SOX3
SOX4
SOX5
SOX6
SOX9
SP1
SP100
SP110
SP140L
SP2
SP3
SP4
SP8
SPEN
SREBF1
SREBF2
SRF
STAT1
STAT2
STAT3
STAT5B
STAT6
TBP
TBPL1
TCF12
TCF20
TCF3
TCF4
TCF7
TCF7L1
TCF7L2
TCFL5
TEAD1
TEAD2
TEAD3
TEAD4
TERF1
TERF2
TET1
TET2
TET3
TFAP2C
TFCP2
TFDP1
TFDP2
TFE3
TGIF1
TGIF2
THAP1
THAP10
THAP11
THAP12
THAP2
THAP3
THAP4
THAP5
THAP6
THAP7
THAP8
THAP9
THYN1
TIGD1
TIGD2
TIGD5
TIGD6
TMF1
TOPORS
TP53
TRAFD1
TRERF1
TRPS1
TSC22D1
TSHZ2
TTF1
UBP1
USF2
USF3
VEZF1
WIZ
XBP1
XPA
YBX1
YBX3
YY1
ZBED1
ZBED3
ZBED4
ZBED5
ZBED6
ZBTB1
ZBTB10
ZBTB11
ZBTB14
ZBTB16
ZBTB17
ZBTB18
ZBTB2
ZBTB20
ZBTB21
ZBTB22
ZBTB24
ZBTB25
ZBTB26
ZBTB33
ZBTB34
ZBTB37
ZBTB38
ZBTB39
ZBTB4
ZBTB40
ZBTB41
ZBTB43
ZBTB44
ZBTB45
ZBTB46
ZBTB48
ZBTB5
ZBTB6
ZBTB7A
ZBTB8A
ZBTB9
ZC3H8
ZEB1
ZEB2
ZFHX2
ZFHX3
ZFHX4
ZFP1
ZFP14
ZFP28
ZFP30
ZFP37
ZFP41
ZFP62
ZFP64
ZFP69
ZFP82
ZFP90
ZFP91
ZFPM1
ZFX
ZFY
ZHX1
ZHX2
ZHX3
ZIC1
ZIC2
ZIC3
ZIC4
ZIC5
ZIK1
ZKSCAN1
ZKSCAN2
ZKSCAN3
ZKSCAN4
ZKSCAN5
ZKSCAN8
ZMAT1
ZMAT4
ZNF10
ZNF100
ZNF101
ZNF107
ZNF112
ZNF114
ZNF117
ZNF12
ZNF121
ZNF124
ZNF131
ZNF133
ZNF134
ZNF135
ZNF136
ZNF138
ZNF14
ZNF140
ZNF141
ZNF142
ZNF143
ZNF146
ZNF148
ZNF154
ZNF16
ZNF160
ZNF174
ZNF175
ZNF18
ZNF180
ZNF181
ZNF182
ZNF184
ZNF189
ZNF195
ZNF197
ZNF200
ZNF202
ZNF207
ZNF211
ZNF212
ZNF214
ZNF215
ZNF217
ZNF219
ZNF22
ZNF222
ZNF224
ZNF226
ZNF227
ZNF229
ZNF23
ZNF230
ZNF232
ZNF234
ZNF236
ZNF239
ZNF24
ZNF248
ZNF25
ZNF250
ZNF251
ZNF253
ZNF254
ZNF256
ZNF26
ZNF260
ZNF263
ZNF264
ZNF266
ZNF267
ZNF268
ZNF273
ZNF274
ZNF275
ZNF276
ZNF277
ZNF28
ZNF280B
ZNF280C
ZNF280D
ZNF281
ZNF282
ZNF286A
ZNF286B
ZNF287
ZNF292
ZNF3
ZNF300
ZNF302
ZNF304
ZNF311
ZNF316
ZNF317
ZNF318
ZNF319
ZNF32
ZNF320
ZNF322
ZNF324
ZNF326
ZNF329
ZNF331
ZNF333
ZNF334
ZNF335
ZNF337
ZNF33A
ZNF33B
ZNF343
ZNF345
ZNF346
ZNF347
ZNF35
ZNF350
ZNF354A
ZNF354B
ZNF354C
ZNF358
ZNF362
ZNF367
ZNF37A
ZNF382
ZNF383
ZNF384
ZNF385D
ZNF394
ZNF395
ZNF397
ZNF398
ZNF407
ZNF408
ZNF410
ZNF415
ZNF416
ZNF419
ZNF420
ZNF423
ZNF426
ZNF428
ZNF429
ZNF43
ZNF430
ZNF431
ZNF432
ZNF436
ZNF439
ZNF44
ZNF440
ZNF441
ZNF444
ZNF445
ZNF446
ZNF449
ZNF45
ZNF451
ZNF461
ZNF462
ZNF470
ZNF471
