foldChange,expLowCI,expHighCI,pvalue,padj,sgRNA,num_degs,padj_across_all_tested_targets
0.212939907791712,0.160884287449415,0.281838612391528,3.43477731364601e-08,3.52173280931878e-05,ST7,288,7.63283847476891e-08
0.333712788073652,0.288039011792987,0.386628964704015,8.88910801844839e-14,5.83857530199969e-11,CLASP1,729,3.55564320737936e-13
0.338500591568602,0.27241909801891,0.420611665355193,6.11314541428128e-07,7.50103095558954e-05,POT1,849,1.11148098441478e-06
0.351327088303276,0.272576795142593,0.452829166588037,3.76335239278143e-05,0.00104531325417407,MSANTD2,1352,4.42747340327227e-05
0.362014781612286,0.3253240718622,0.402843544148503,1.94104879506495e-21,2.7092188557119e-18,EHMT1,1717,1.2940325300433e-20
0.394624701675899,0.253528975747511,0.535720427604288,1.29811184070295e-06,1.29811184070295e-06,SRCAP,1506,1.997095139543e-06
0.470451236545507,0.421705509014072,0.524831573779158,5.43771152553811e-12,6.07174868941585e-08,ARID2,20,1.8125705085127e-11
0.470516934369379,0.413400507206851,0.535524707079241,5.69002438104195e-09,7.74814783398956e-07,WDFY3,1603,1.42250609526049e-08
0.477736825269435,0.422493116069665,0.540204006971051,1.84175167845388e-09,3.54568952441656e-07,NR2F1-AS1,990,5.26214765272537e-09
0.480832949918104,0.394842648605171,0.585550539040524,0.000202148653706444,0.00800422647973813,SETD1B,639,0.000224609615229382
0.483008325052527,0.459170265077533,0.508083950145713,7.09064916948397e-47,3.9587094313229e-43,NR2F1,1548,1.41812983389679e-45
0.508567145954289,0.475590399470453,0.543830452069837,6.38118119164199e-24,3.09792474721193e-21,NIPBL,1420,6.38118119164199e-23
0.556120538744208,0.467117721793967,0.662081610659932,0.000767003942913363,0.00826676257390986,SOX2-OT,1721,0.000767003942913363
0.595823715730428,0.527952613023867,0.672420007912274,1.8554771879082e-05,0.000661925184670382,PPP3CA,1122,2.4739695838776e-05
0.625108456011077,0.589100016103398,0.663317893557767,2.39354646566113e-15,2.22719498629768e-12,WAC,1417,1.19677323283056e-14
0.647976948242766,0.598061037933498,0.702058985325,6.20569751289829e-08,1.50636561802222e-05,BAZ2B,718,1.24113950257966e-07
0.723426363998397,0.674728018750508,0.775639501524031,3.38880117411591e-06,0.000398308988528192,SETD2,543,4.8411445344513e-06
0.741524481735382,0.697916871897998,0.787856805234663,8.05191555099605e-07,8.9017513903388e-05,KMT2E,660,1.34198592516601e-06
0.781489261053427,0.736549396886249,0.829171088488652,3.14098966975473e-05,0.0701445813049626,ARHGAP5,4,3.92623708719341e-05
0.807274065438151,0.761126988523046,0.856219036449667,0.000275699129306706,0.00897509177212443,SETD5,704,0.000290209609796533
