"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"BIRC6" 116.774298534701 0.539881685867276 0.109259593828698 4.94127487526381 7.76133966761799e-07 0.0034499154822562 0.00866786414079577
"CHD1" 314.099902700208 0.351385042103342 0.0743494553198192 4.72612799369996 2.28841436937896e-06 0.00508600093594474 0.0127785058386121
"COL11A1" 528.165557981065 0.242605185365196 0.0527435600185674 4.59971198909955 4.23075462796156e-06 0.00626856810709638 0.0157496892283582
"LAGE3" 102.186599424983 -0.586755872192382 0.131227466459102 -4.47128858023977 7.77496988294161e-06 0.00863993528241887 0.0207184502065902
"TRIO" 185.330222870075 0.370541701083559 0.0841364468070343 4.40405692355171 1.06245045479201e-05 0.00944518454310101 0.0207184502065902
"ARHGAP21" 229.82084237828 0.328064329266128 0.0757474028553624 4.33103072712022 1.48412967095918e-05 0.0109949273123559 0.0207184502065902
"ENSG00000241489" 42.0638229163197 10.2922759112581 2.35932513898085 4.36238131879695 1.28654379973981e-05 NA 0.0207184502065902
"ENSG00000277991" 21.2886828406934 16.5146879462488 3.79289145426385 4.35411562534529 1.33605179092061e-05 NA 0.0207184502065902
"CDK13" 88.9163886009475 0.479632305602868 0.112397077533024 4.26730228338851 1.9785098856134e-05 0.0110174190286243 0.0228529252292404
"DIAPH3" 270.58330570262 0.310739703319409 0.0729473673253678 4.25977954671638 2.04628628485319e-05 0.0110174190286243 0.0228529252292404
"IQGAP1" 316.88825552512 0.26240062497786 0.0622509638541107 4.21520581742016 2.4955049755835e-05 0.0110174190286243 0.0232248329727638
"SKIC3" 186.5098222548 0.355661002209551 0.0840024092342364 4.23393811501059 2.29634160584388e-05 0.0110174190286243 0.0232248329727638
"STK4" 120.696261366669 0.414666041085983 0.0988432890030456 4.19518659555335 2.72647040078443e-05 0.0110174190286243 0.0234224780276619
"AHNAK" 563.983490148625 0.322446461594866 0.0788120405095275 4.09133502330632 4.28897005145768e-05 0.0146649783682534 0.0319328116897862
"CHD9" 162.503129240913 0.35575237508108 0.0868691896531996 4.0952652661009 4.21685286259255e-05 0.0146649783682534 0.0319328116897862
"SMARCA1" 235.486034692709 0.307996629885162 0.0761400225197588 4.04513447320343 5.22930986996596e-05 0.0166030588371419 0.0365005828923624
"CCDC88A" 322.677957535643 0.266307316554483 0.0683509955543097 3.89617319242823 9.77245193472025e-05 0.0222583038217828 0.0512633691019569
"CDC42BPA" 146.173238454603 0.366074754731387 0.0943576312987292 3.87965180656583 0.000104606099602038 0.0222583038217828 0.0512633691019569
"CEP170" 192.490902486684 0.292436880538079 0.0756229465291224 3.86703896052849 0.000110164833313661 0.0222583038217828 0.0512633691019569
"ENAH" 702.617075803178 0.229217029385998 0.0589833125575 3.88613354264471 0.000101853490586428 0.0222583038217828 0.0512633691019569
"IGF2BP2" 266.387312453642 0.28308288280721 0.072869250739285 3.88480572992354 0.000102411745733981 0.0222583038217828 0.0512633691019569
"PPFIA1" 135.063264680135 0.34769324834991 0.0888494374088057 3.91328587428344 9.10486381555136e-05 0.0222583038217828 0.0512633691019569
"ROCK2" 232.20470266577 0.284970331043002 0.0735449584560732 3.87477723864932 0.000106722280626022 0.0222583038217828 0.0512633691019569
"TTF2" 81.0429481960964 0.481382769853337 0.12234124400158 3.93475457750879 8.32817526204055e-05 0.0222583038217828 0.0512633691019569
"TRIP12" 210.875397119693 0.288656340341984 0.0750034067977297 3.84857638694248 0.00011880625138055 0.022960599451589 0.0530731286167193
"AHCTF1" 191.552022151038 0.298750134921482 0.0787531280522644 3.79350182412078 0.000148537539346148 0.0247392156720884 0.057870246591667
"EIF4G3" 165.524618955586 0.311612988558658 0.0818776236205099 3.80583821048515 0.000141324747110783 0.0247392156720884 0.057870246591667
"GOLGA4" 337.82447571575 0.276080730867667 0.0728326131225475 3.79061960063325 0.000150271951214035 0.0247392156720884 0.057870246591667
"PRR14L" 156.803604301884 0.335041650097672 0.0878255937323721 3.81485209332752 0.000136264524225182 0.0247392156720884 0.057870246591667
"PCM1" 456.869513682258 0.243999456774966 0.0646287551390112 3.77540084518328 0.000159750562200911 0.0253604017493945 0.0594698092886591
"PRDX2" 395.632134922262 -0.287123673214077 0.0765028179333378 -3.75311238161538 0.000174652507961931 0.0267700137203718 0.0629199744812531
"CDK5RAP2" 147.809185001929 0.351858379473576 0.0952519899105306 3.69397405559793 0.000220776337671323 0.0306672131546572 0.0725185335033334
"DST" 509.281369716791 0.349292272730018 0.0943826545426424 3.70081001029915 0.000214912344422458 0.0306672131546572 0.0725185335033334
"KIF15" 96.7763332207428 0.4170502313073 0.112578554842423 3.70452642504647 0.000211786030338983 0.0306672131546572 0.0725185335033334
