pval	or	lower.ci	InList1AndList2	InList1AndNotList2	InList2AndNotList1	InNeither	cellType	padj	ontology
1.77454627040986e-14	6.40229179802743	4.170702244489	46	4264	26	15432	C42B	4.73212338775962e-14	Female Biased downDEG
4.70362649180307e-33	4.50087692066869	3.6483867603495	149	4161	122	15336	C42B	3.76290119344246e-32	Candidate_Autism_Risk_Genes
7.63544620974347e-99	3.99281841500843	3.58765279721265	537	3773	532	14926	C42B	1.83250709033843e-97	Downregulated DEGs
2.56174439970547e-26	3.84761905465557	3.06603957921507	187	6014	81	10024	Common_Targets	1.22963731185863e-25	Candidate_Autism_Risk_Genes
1.47980701223662e-06	3.39291270721994	2.19079733448268	32	4278	34	15424	C42B	2.53681202097705e-06	Top Drivers
1.70641189691073e-10	3.09132188511135	2.2976059104278	64	4246	75	15383	C42B	4.09538855258576e-10	ZFX Regulon
5.1636489269386e-61	2.89809252778415	2.59564483580745	654	5547	395	9710	Common_Targets	6.19637871232632e-60	Downregulated DEGs
2.16928764946483e-05	2.77013241490347	1.79750966913	44	6157	26	10079	Common_Targets	3.25393147419725e-05	Female Biased downDEG
2.62272230729775e-09	2.46935757694302	1.91588663659422	79	4231	116	15342	C42B	5.72230321592235e-09	HCSFARI
0.000423990227150524	2.390092435476	1.52791577902028	38	6163	26	10079	Common_Targets	0.000565320302867366	Top Drivers
8.73909312970919e-20	2.33483170560342	2.01503061351977	180	1340	886	15402	MCF7	2.99626050161458e-19	Downregulated DEGs
0.00830300484419057	2.33290543210587	1.3101184981371	13	1507	60	16228	MCF7	0.00905782346638971	Female Biased downDEG
9.54968859681558e-07	2.29257377021095	1.70287956221626	81	6120	58	10047	Common_Targets	1.76301943325826e-06	ZFX Regulon
2.16110115194286e-30	2.1831121966882	1.95434825116657	394	3916	681	14777	C42B	1.29666069116571e-29	SysID
1.88243225086732e-25	2.14569895960318	1.90459309948554	336	3974	586	14872	C42B	7.52972900346928e-25	SFARI
0.00189151928195952	2.1052797435442	1.38757974006396	23	1497	118	16170	MCF7	0.00216173632223945	ZFX Regulon
5.51989726816633e-07	2.09566886824948	1.62001697245289	102	6099	80	10025	Common_Targets	1.10397945363327e-06	HCSFARI
0.00100414603153175	1.80658428963898	1.32418158624328	39	1481	234	16054	MCF7	0.0012049752378381	Candidate_Autism_Risk_Genes
2.09863166720784e-19	1.77616855763361	1.59585265338155	539	5662	514	9591	Common_Targets	6.29589500162351e-19	SysID
0.0926155063312854	1.75790682870752	0.874114885622295	9	1511	55	16233	MCF7	0.0926155063312854	Top Drivers
0.000119772597339603	1.50336407950444	1.25507895422373	111	1409	811	15477	MCF7	0.00016909072565591	SFARI
0.0918263367648501	1.40071667787482	0.923889515303727	22	1498	169	16119	MCF7	0.0926155063312854	HCSFARI
0.000745516314725406	1.39642819780208	1.17604013206354	122	1398	958	15330	MCF7	0.000941704818600512	SysID
4.35947080502438e-06	1.37607246095035	1.22158536521465	386	5815	465	9640	Common_Targets	6.97515328803902e-06	SFARI
