Gene	MCF7_siCtrl_rep1	MCF7_siCtrl_rep2	MCF7_siCtrl_rep3	MCF7_siZFX_rep1	MCF7_siZFX_rep2	MCF7_siZFX_rep3
5S_rRNA	nan	nan	nan	nan	nan	nan
7SK	nan	nan	nan	nan	nan	nan
ZDHHC11B	0.686016	0.799987	0.676076	0.432901	0.44375	0.398446
ZDHHC12	44.1513	44.0992	45.0877	59.0027	45.053	43.8094
ZDHHC13	17.5379	19.2999	19.4256	14.2627	16.1767	16.1622
ZDHHC14	4.95021	4.478	5.12779	4.00356	5.29144	4.53868
ZDHHC15	nan	nan	nan	nan	nan	nan
ZDHHC16	24.256	24.066	25.3849	27.6997	22.3752	22.0016
ZDHHC17	29.1826	33.4411	31.6908	20.4933	26.6588	28.5604
ZDHHC18	33.0485	33.6242	31.3903	36.958	31.0179	30.9404
ZDHHC19	nan	nan	nan	nan	nan	nan
ZDHHC2	4.29019	4.45181	4.27316	3.42805	3.93078	4.17891
ZDHHC20	31.906	36.1747	35.4161	17.1058	19.9241	21.9943
ZDHHC20-IT1	nan	nan	nan	nan	nan	nan
ZDHHC20P1	nan	nan	nan	nan	nan	nan
ZDHHC20P2	nan	nan	nan	nan	nan	nan
ZDHHC20P3	nan	nan	nan	nan	nan	nan
ZDHHC20P4	2.43902	2.84401	2.76522	1.36062	1.92199	1.86149
ZDHHC21	26.3304	29.6176	28.8727	19.4423	25.6761	27.0107
ZDHHC22	4.29019	3.35195	3.85549	2.95263	2.88721	3.43169
ZDHHC23	26.9764	29.8272	29.3346	19.2278	23.0329	24.0559
ZDHHC24	14.9518	13.4508	16.007	16.1534	12.3118	12.2198
ZDHHC3	49.6671	49.5461	48.5289	47.192	46.7911	47.3241
ZDHHC4	25.5526	27.8893	29.0574	28.3753	23.7107	25.2948
ZDHHC4P1	nan	nan	nan	nan	nan	nan
ZDHHC5	64.6823	62.0899	64.2128	74.0407	64.5052	63.3755
ZDHHC6	28.6404	30.2721	29.7042	30.6273	32.8574	34.1782
ZDHHC7	122.743	126.773	117.34	109.972	119.71	121.491
ZDHHC8	21.5452	18.4881	19.1253	20.7185	17.8145	17.961
ZDHHC8P1	1.46149	1.49267	1.31659	0.450401	0.503946	0.470473
ZDHHC9	64.9177	60.2823	58.9702	66.259	64.4037	65.3127
ZEB1	1.39495	1.56065	1.41103	1.90169	2.39691	2.66335
ZEB1-AS1	3.64955	3.80771	4.04013	4.10365	4.75913	4.03398
ZEB2	nan	nan	nan	nan	nan	nan
ZEB2-AS1	nan	nan	nan	nan	nan	nan
ZEB2P1	0.18858	0.340433	0.230981	0.200178	0.302368	0.304424
ZER1	49.62	51.0125	47.9749	51.8712	47.3962	49.3997
ZFAND1	42.3879	44.9109	43.8896	42.9658	54.4824	56.6267
ZFAND2A	20.6966	20.4784	20.3957	25.3725	25.802	27.3428
ZFAND2B	18.2686	16.5764	18.2476	21.6943	19.7799	19.7875
ZFAND3	75.8562	76.4675	75.6241	90.8309	93.7084	98.9103
ZFAND4	1.10791	1.44029	1.54758	1.20107	1.15908	1.05165
ZFAND5	99.4667	97.7304	104.344	100.763	107.767	109.425
ZFAND6	41.4404	43.4704	45.9189	34.3307	44.347	47.7114
ZFAND6P1	nan	nan	nan	nan	nan	nan
ZFAS1	185.043	168.933	170.604	183.062	191.674	199.066
ZFAT	6.94511	7.32049	6.81912	6.54084	7.00246	6.66245
ZFAT-AS1	nan	nan	nan	nan	nan	nan
ZFC3H1	76.8948	76.1194	73.9635	70.1122	91.0132	85.5033
ZFHX2	3.77159	3.92807	3.09515	3.12779	2.87249	3.59916
ZFHX3	148.546	143.319	132.05	123.015	130.476	125.393
ZFHX4	nan	nan	nan	nan	nan	nan
ZFHX4-AS1	nan	nan	nan	nan	nan	nan
ZFP1	30.0311	31.4506	30.3276	28.3251	30.6904	31.3833
ZFP14	4.76163	6.18016	5.72834	3.85343	4.05677	4.45566
ZFP2	0.0942898	0.235684	0.277178	0.150134	0.125987	0.0830247
ZFP28	nan	nan	nan	nan	nan	nan
ZFP3	12.9648	12.6484	12.9119	12.8114	13.7325	13.9205
ZFP30	12.5405	14.3767	13.0736	5.02948	6.27413	7.00174
ZFP36	93.7244	80.0535	84.7942	132.868	122.633	110.425
ZFP36L1	156.218	138.738	130.269	170.831	174.775	164.273
ZFP36L2	278.65	269.989	258.792	199.978	194.297	199.84
ZFP37	nan	nan	nan	nan	nan	nan
ZFP41	16.2179	13.853	13.651	13.2032	13.0018	13.2563
ZFP42	nan	nan	nan	nan	nan	nan
ZFP57	nan	nan	nan	nan	nan	nan
ZFP62	39.8137	44.4136	42.5929	33.1048	37.2667	38.3018
ZFP64	19.5179	18.619	18.4785	18.2162	16.857	16.4112
ZFP64P1	nan	nan	nan	nan	nan	nan
ZFP69	4.05446	4.50418	4.01908	3.00268	2.8221	3.01656
ZFP69B	2.3101	2.88059	2.00954	2.27703	2.64572	2.40772
ZFP82	nan	nan	nan	nan	nan	nan
ZFP90	42.006	48.0274	43.5866	38.6342	39.0305	38.8835
ZFP91	93.2751	90.3708	92.4573	90.5458	101.37	101.484
ZFP91-CNTF	nan	nan	nan	nan	nan	nan
ZFP92	nan	nan	nan	nan	nan	nan
ZFPL1	27.3134	23.921	24.1291	32.9231	28.9217	28.097
ZFPM1	26.2833	24.1707	22.5438	23.1206	21.2413	22.306
ZFPM2	nan	nan	nan	nan	nan	nan
ZFR	111.404	108.964	107.638	98.8133	120.619	120.553
ZFR2	nan	nan	nan	nan	nan	nan
ZFRP1	nan	nan	nan	nan	nan	nan
ZFX	41.1574	39.6735	38.6432	7.13135	7.5592	8.49619
ZFX-AS1	nan	nan	nan	nan	nan	nan
ZFY	nan	nan	nan	nan	nan	nan
ZFY-AS1	nan	nan	nan	nan	nan	nan
ZFYVE1	22.4175	22.3637	20.6035	24.697	26.6335	28.173
ZFYVE16	62.8212	67.9822	63.22	48.9188	63.2455	61.7151
ZFYVE19	12.2105	12.3079	12.8274	12.7113	13.5169	12.0663
ZFYVE20	65.2016	68.0338	65.275	59.3279	61.6322	64.3441
ZFYVE21	66.852	66.1222	66.5682	61.0038	61.4057	65.3132
ZFYVE26	39.1303	37.8139	35.8021	42.6131	39.1565	40.184
ZFYVE27	19.518	22.0496	22.6593	23.8712	20.183	20.7009
ZFYVE28	6.17599	5.99685	5.82073	7.1814	5.92137	5.97777
ZFYVE9	14.9685	15.5272	16.0257	7.45664	9.65058	8.99434
ZFYVE9P1	0.565739	0.394602	0.604984	0.225201	0.277171	0.304424
ZFYVE9P2	nan	nan	nan	nan	nan	nan
ZG16	nan	nan	nan	nan	nan	nan
ZG16B	8.36822	10.0297	10.4635	12.6112	11.1372	12.9795
ZGLP1	1.94625	1.83951	2.70281	2.48947	2.04792	2.10368
ZGPAT	31.0655	30.8438	29.8833	36.9246	33.6289	32.5333
ZHX1	110.461	112.762	111.007	90.1264	110.661	110.804
ZHX1-C8ORF76	2.58973	2.47996	2.86941	2.15074	3.23485	3.4326
ZHX2	30.9742	28.8059	29.6349	33.3297	33.3613	36.2818
ZHX3	60.1544	62.3777	57.3754	56.0476	51.9296	51.4753
ZIC1	20.9795	22.7304	19.5872	18.5915	20.057	19.4554
ZIC2	2.97013	3.03771	2.67939	1.92672	1.8394	2.68446
ZIC3	0.636456	0.340433	0.577454	0.350312	0.352762	0.332099
ZIC4	5.53952	7.82995	6.00552	5.25468	5.46782	4.73241
ZIC4-AS1	nan	nan	nan	nan	nan	nan
ZIC5	2.54582	2.22591	2.10193	1.92672	1.76381	1.74352
ZIK1	nan	nan	nan	nan	nan	nan
ZIK1P1	nan	nan	nan	nan	nan	nan
ZIM2	nan	nan	nan	nan	nan	nan
ZIM3	nan	nan	nan	nan	nan	nan
ZKSCAN1	157.041	163.903	149.583	135.369	156.525	158.909
ZKSCAN2	11.8805	11.4961	12.5423	12.336	11.0868	10.7655
ZKSCAN3	2.39596	2.4354	2.38511	1.70151	1.82089	1.97314
ZKSCAN4	5.40652	4.84462	5.26039	4.9294	5.20917	5.22233
ZKSCAN5	22.5588	22.7828	22.7286	25.3476	27.0117	24.9628
ZKSCAN7	0.612884	0.392807	0.464087	0.377799	0.705525	0.664197
ZKSCAN8	39.2716	39.7519	37.4884	23.4959	27.8682	27.4258
ZMAT1	8.17964	8.79887	7.4838	5.98033	7.68518	8.08108
ZMAT2	62.3997	64.1879	66.0862	61.0806	68.4933	67.9744
ZMAT3	39.1775	41.5853	39.8906	30.6023	35.5282	36.5585
ZMAT4	0.542166	0.890362	0.808435	0.750669	0.730722	0.885597
ZMAT5	3.46785	3.48194	4.05803	4.79029	3.84664	3.44629
ZMIZ1	126.466	115.983	110.478	122.259	114.219	108.402
ZMIZ1-AS1	0.330014	0.445181	0.600552	0.600535	0.428354	0.525823
ZMIZ2	113.502	99.6417	93.9172	115.027	101.168	96.4751
ZMPSTE24	56.8567	55.3072	59.0851	52.3967	56.0388	58.4494
ZMYM1	16.2414	17.2835	17.8779	11.6354	14.7908	15.4149
ZMYM2	130.472	136.88	132.514	113.199	137.908	138.237
ZMYM3	37.9986	38.8092	38.3432	40.4107	35.5536	34.4276
ZMYM4	61.7697	61.7943	60.8518	52.219	54.0915	58.5212
ZMYM4-AS1	nan	nan	nan	nan	nan	nan
ZMYM5	18.9523	21.3687	20.9038	18.8418	26.8099	26.651
ZMYM6	16.6834	17.4093	16.8749	14.2586	18.9784	17.9305
ZMYM6NB	3.61244	4.35215	4.02893	4.18285	2.9181	3.48992
ZMYND10	0.495021	0.54993	0.808435	0.425379	0.65513	0.553498
ZMYND10-AS1	nan	nan	nan	nan	nan	nan
ZMYND11	144.172	147.359	142.906	81.8719	98.9748	101.566
ZMYND12	0.18858	0.157123	0.161687	0.150134	0.302368	0.276749
ZMYND15	1.43792	1.33554	1.13181	1.32618	1.41105	1.19002
ZMYND19	33.19	28.963	30.605	32.0035	23.4587	25.1288
ZMYND19P1	nan	nan	nan	nan	nan	nan
ZMYND8	104.072	99.6936	93.3387	115.928	115.978	111.807
ZNF10	4.97378	6.33728	5.58976	5.02948	6.24894	7.33385
ZNF100	23.3175	23.9088	22.7831	19.6175	24.0974	23.536
ZNF101	13.2477	14.3767	14.4826	15.2636	16.3278	16.0515
ZNF101P1	nan	nan	nan	nan	nan	nan
ZNF101P2	nan	nan	nan	nan	nan	nan
ZNF106	74.8665	72.2497	72.8743	76.3182	79.5235	80.7281
ZNF107	43.1853	45.5651	43.2397	30.9777	39.5601	37.9418
ZNF112	4.43162	4.81843	5.58975	2.97765	3.65361	3.54238
ZNF114	8.01463	8.7465	8.40773	7.68185	7.78598	6.66966
ZNF114P1	nan	nan	nan	nan	nan	nan
ZNF117	40.906	45.5132	40.6144	24.6196	32.9983	37.4538
ZNF12	85.0484	88.5109	81.8114	73.9401	83.5528	85.0728
ZNF121	20.7202	22.9399	21.3889	19.0169	22.1232	21.3373
ZNF123P	nan	nan	nan	nan	nan	nan
ZNF124	5.82239	6.54678	6.39819	5.32975	5.51821	5.9501
ZNF131	38.5645	36.6619	36.4489	33.9802	39.1819	40.5438
ZNF132	0.919325	1.12605	0.831533	0.950846	0.831511	0.747222
ZNF133	8.86324	9.82016	9.67811	9.15816	9.92775	8.77294
ZNF134	25.2461	26.3181	24.4147	26.0732	26.7596	25.9867
ZNF135	nan	nan	nan	nan	nan	nan
ZNF136	7.11889	7.20147	7.5531	6.23055	6.6017	6.69731
ZNF137P	2.78155	2.8544	2.79488	3.67828	4.10716	4.37264
ZNF138	22.4174	21.5782	21.4582	17.3405	22.4761	21.4481
ZNF14	12.4227	13.1197	12.0572	11.7855	12.8254	13.2009
ZNF140	24.9162	26.1087	25.5236	26.1233	27.7926	26.5402
ZNF141	15.8402	15.1355	14.2892	12.0858	14.1592	14.9168
ZNF142	53.3436	46.6832	46.7404	56.463	52.0674	47.1992
ZNF143	11.9512	12.7531	11.6877	12.4361	13.6065	14.0589
ZNF146	127.355	128.453	129.735	119.374	132.636	133.803
ZNF148	76.6819	80.3685	74.099	57.2763	76.9524	77.5175
ZNF154	1.13148	1.28317	1.2011	1.15103	1.25987	1.43909
ZNF155	6.81031	7.00092	6.47333	8.08336	7.32894	7.10655
ZNF157	nan	nan	nan	nan	nan	nan
ZNF16	10.7254	10.8153	10.1632	12.6613	12.1703	10.8762
ZNF160	34.2036	36.7929	34.301	30.4022	34.0667	33.21
ZNF165	16.0057	14.56	14.6211	21.0187	23.7611	21.1159
ZNF169	3.77159	3.74476	4.08837	3.50312	4.6867	3.95751
ZNF17	6.6003	6.65154	6.23649	7.23143	5.87097	6.75267
ZNF174	10.8638	10.5241	9.63119	8.88291	7.48361	7.19547
ZNF175	nan	nan	nan	nan	nan	nan
ZNF177	nan	nan	nan	nan	nan	nan
ZNF18	5.20951	6.15398	6.14411	6.88113	5.79481	5.25823
ZNF180	13.4127	13.6173	14.598	11.185	10.9608	11.07
ZNF181	10.3483	10.92	11.4567	9.15159	10.658	10.876
ZNF182	7.04817	8.37987	7.89955	7.23146	8.6923	8.35781
ZNF184	13.7192	12.7008	13.7664	15.9142	16.5798	17.8226
ZNF185	56.4091	60.8852	58.2539	67.8854	60.7513	62.352
ZNF189	15.7229	16.5503	17.8779	8.15729	8.99544	9.99065
ZNF19	4.24098	3.8787	3.87115	3.60467	3.92349	3.44514
ZNF192P1	nan	nan	nan	nan	nan	nan
ZNF192P2	nan	nan	nan	nan	nan	nan
ZNF195	26.4955	27.706	26.2626	25.2475	26.306	25.9037
ZNF197	11.5976	11.2867	11.5029	10.134	11.2128	11.7895
ZNF197-AS1	nan	nan	nan	nan	nan	nan
ZNF2	4.97379	4.45181	4.94301	5.40481	5.21584	4.53868
ZNF20	2.09543	2.63824	3.43012	1.84582	2.68398	2.10757
ZNF200	12.5641	13.853	13.8589	14.1126	13.3546	13.1179
ZNF202	9.33469	10.3439	10.6714	10.2842	9.87735	10.8762
ZNF204P	0.612884	0.811801	0.762239	0.300267	0.529144	0.636522
ZNF205	12.4692	12.1225	11.3395	14.4867	12.3441	12.2027
ZNF205-AS1	0.0948504	0.185454	0.232627	0.226487	0.279816	0.223315
ZNF207	130.827	132.428	133.299	135.095	139.519	137.765
ZNF208	nan	nan	nan	nan	nan	nan
ZNF209P	nan	nan	nan	nan	nan	nan
ZNF211	8.91038	9.87254	10.7406	10.6595	10.734	10.8486
ZNF212	13.1063	13.7482	12.9119	18.2412	15.446	15.9961
ZNF213	28.2398	26.606	26.7709	33.1046	26.7596	26.4849
ZNF214	nan	nan	nan	nan	nan	nan
ZNF215	nan	nan	nan	nan	nan	nan
ZNF217	549.478	549.152	492.727	467.499	534.67	516.273
ZNF219	34.2646	31.1982	31.1064	33.4787	26.6849	27.1309
ZNF22	11.3377	11.7988	11.6395	8.7578	10.786	10.4483
ZNF221	0.518594	0.471368	0.692944	0.500446	0.554341	0.581173
ZNF222	5.24468	5.41	5.33182	5.81364	6.50417	6.86351
ZNF223	4.51537	4.74704	5.04994	4.95696	4.86437	5.2764
ZNF224	12.8234	13.0549	11.9091	9.45975	10.9745	10.8598
ZNF225	2.02723	2.04259	2.35601	2.05183	2.31815	2.79516
ZNF226	15.8407	17.2573	16.7461	17.1152	18.5704	20.2303
ZNF227	15.4635	16.0789	15.4065	18.5665	19.5781	18.3761
ZNF229	16.3829	17.9382	18.1321	20.2681	19.1248	19.8982
ZNF23	14.7197	15.349	15.0763	15.271	15.1035	13.0649
ZNF230	3.48872	4.21613	3.7188	3.37801	3.62842	4.62171
ZNF232	3.75375	3.14473	3.72177	4.17872	4.0385	3.93301
ZNF233	2.68726	2.72346	2.63319	2.70241	3.04887	2.65679
ZNF234	7.16602	8.77271	8.19985	6.13046	7.66	6.11615
ZNF235	6.62385	6.28494	5.72835	7.00327	7.00511	7.58291
ZNF236	17.3965	15.1623	14.0668	12.0607	12.2459	12.7858
ZNF239	9.87684	10.0035	9.40094	9.28327	9.24742	7.85967
ZNF24	109.003	115.07	110.755	92.4589	109.63	113.304
ZNF248	13.6515	15.6337	14.8983	9.23321	11.0868	11.5209
ZNF25	7.26031	8.03944	7.04495	4.10366	5.51821	4.67706
ZNF250	9.69089	9.72519	9.36653	7.21977	7.81117	8.09751
ZNF251	16.0764	17.9906	15.6836	14.1876	13.6317	14.7784
ZNF252P	31.9721	34.1553	33.6249	31.3497	33.9298	34.5686
ZNF252P-AS1	0.542166	0.707052	0.485061	0.55049	0.629933	0.470473
ZNF253	20.3902	21.8662	19.9799	17.9159	20.8886	19.2158
ZNF254	35.7561	34.7603	35.0072	32.4301	40.9154	40.5711
ZNF256	6.52956	6.78247	6.44436	8.38245	7.86158	7.72127
ZNF257	7.54317	8.3013	8.7311	8.8579	8.91982	8.93897
ZNF259	27.6976	27.6798	27.4406	33.4298	31.4967	30.138
ZNF259P1	nan	nan	nan	nan	nan	nan
ZNF26	16.6186	17.1002	15.8222	18.041	17.7892	17.3798
ZNF260	30.6915	32.8124	30.2585	24.6469	29.4305	30.7745
ZNF263	36.5545	34.6933	34.442	33.8423	34.278	34.0489
ZNF264	1.67364	1.59742	1.52448	1.62645	1.76381	2.15864
ZNF266	7.47248	7.25384	6.99873	7.90704	6.77808	7.832
ZNF267	37.1971	38.5734	37.4887	33.68	39.1817	39.2985
ZNF268	24.3504	25.2968	24.5995	23.4958	26.3061	27.4811
ZNF271	14.4735	14.8743	16.238	13.1367	13.3042	13.7267
ZNF273	10.5605	12.5174	11.7185	9.25824	11.0616	10.7932
ZNF274	33.5908	34.7501	33.0997	47.6927	44.826	45.0824
ZNF275	32.8837	32.7863	29.9582	17.1653	16.8066	15.747
ZNF276	43.2292	40.4803	39.4424	49.6049	43.5053	39.9448
ZNF277	13.3419	16.1051	15.5848	12.6362	16.3531	17.4905
ZNF28	26.4412	26.8459	26.7966	28.9272	31.7198	32.3324
ZNF280A	0.447877	0.418994	0.323374	0.350312	0.478749	0.664197
ZNF280B	nan	nan	nan	nan	nan	nan
ZNF280C	13.6013	14.4029	13.7896	11.235	12.3215	11.236
ZNF280D	21.0738	22.7304	21.897	15.1635	18.0161	18.5975
ZNF281	61.9717	59.0775	59.4316	60.3793	73.5253	70.0718
ZNF282	39.1536	39.4639	37.4422	38.8347	34.3941	33.8741
ZNF283	8.65109	8.40607	7.78408	8.03215	10.2049	9.02202
ZNF284	1.81402	1.78428	1.44449	2.14089	2.08683	2.02963
ZNF285	1.03719	1.54504	1.43209	1.67649	1.60641	1.74352
ZNF285B	nan	nan	nan	nan	nan	nan
ZNF286A	41.3207	40.2547	38.7207	36.3812	38.6345	39.5424
ZNF286B	5.90042	6.2274	6.08784	6.38223	5.93014	5.66147
ZNF287	5.91668	4.79225	5.45117	4.50401	3.88038	4.01286
ZNF292	95.2342	96.6281	87.3572	75.2416	104.465	103.283
ZNF295-AS1	nan	nan	nan	nan	nan	nan
ZNF296	12.9413	11.051	10.6482	12.8865	10.3057	9.90761
ZNF299P	nan	nan	nan	nan	nan	nan
ZNF29P	nan	nan	nan	nan	nan	nan
ZNF3	61.6882	58.8689	58.0219	66.2625	66.1184	64.0685
ZNF30	5.28023	5.63023	5.77455	4.45397	4.28355	4.23426
ZNF300	0.117862	0.157123	0.138589	0.250223	0.277171	0.359774
ZNF300P1	nan	nan	nan	nan	nan	nan
ZNF302	20.4609	22.7828	22.3358	16.0204	19.7294	18.4592
ZNF304	8.48609	8.95541	9.516	9.68125	8.99116	8.80062
ZNF311	2.75798	3.87569	3.14135	3.42805	2.8221	3.37634
ZNF316	51.7652	47.032	48.4597	59.2782	51.125	51.6413
ZNF317	31.0918	30.5081	29.1036	33.2048	32.7816	34.1784
ZNF317P1	nan	nan	nan	nan	nan	nan
ZNF318	42.0531	39.6995	35.3862	31.3029	30.2115	28.0623
ZNF319	7.3546	6.99196	6.88325	3.67828	2.89769	2.93354
ZNF32	10.5425	11.6327	10.9254	5.7904	4.6111	4.82541
ZNF32-AS1	nan	nan	nan	nan	nan	nan
ZNF32-AS2	0.442285	0.465727	0.277178	0.139892	0.226776	0.156076
ZNF32-AS3	nan	nan	nan	nan	nan	nan
ZNF320	0.666366	0.733239	0.647224	0.800713	0.883465	0.941291
