Gene	MCF7_siCtrl_rep1	MCF7_siCtrl_rep2	MCF7_siCtrl_rep3	MCF7_siZFX_rep1	MCF7_siZFX_rep2	MCF7_siZFX_rep3
5S_rRNA	nan	nan	nan	nan	nan	nan
7SK	nan	nan	nan	nan	nan	nan
DCUN1D1	49.028	53.0028	52.0632	35.2063	43.3897	45.4699
DCUN1D2	16.5007	15.9479	15.8684	17.8158	20.9138	19.7045
DCUN1D2-AS	nan	nan	nan	nan	nan	nan
DCUN1D3	15.3386	17.1709	17.6419	20.1393	20.0207	20.251
DCUN1D4	30.1493	31.3461	31.113	26.4486	33.4116	34.815
DCUN1D5	13.3892	13.6434	14.598	16.0643	14.9925	16.3558
DCX	nan	nan	nan	nan	nan	nan
DCXR	30.1963	29.0677	29.173	43.1134	33.2101	33.5696
DDA1	28.5698	26.2919	24.715	34.5058	31.9251	30.5531
DDAH1	28.6405	29.6438	31.8752	23.471	27.2133	29.2802
DDAH2	29.5834	31.5817	33.1459	28.8757	32.5046	37.0568
DDB1	243.67	244.335	235.177	267.377	240.926	243.156
DDB2	27.3679	27.4181	26.4011	26.8488	23.0555	24.0218
DDC	nan	nan	nan	nan	nan	nan
DDC8	nan	nan	nan	nan	nan	nan
DDHD1	36.7025	38.3902	35.4785	28.2501	32.2274	33.6248
DDHD2	19.188	20.6878	19.7027	14.7882	16.5547	16.3282
DDI1	nan	nan	nan	nan	nan	nan
DDI2	75.2645	83.58	75.8921	67.4002	79.1645	76.3431
DDIT3	35.032	35.7	34.8273	54.519	59.7319	56.0019
DDIT4	109.494	112.055	110.779	158.089	146.749	145.016
DDIT4L	nan	nan	nan	nan	nan	nan
DDN	0.447877	0.340433	0.300276	0.175156	0.428354	0.359774
DDO	nan	nan	nan	nan	nan	nan
DDOST	171.348	171.37	179.58	217.662	198.135	204.605
DDR1	186.787	190.329	187.024	210.563	181.295	182.128
DDR1-AS1	nan	nan	nan	nan	nan	nan
DDR2	0.471449	0.864175	0.508159	0.725646	0.856709	1.05165
DDRGK1	32.2234	29.8011	31.529	29.8017	27.0366	27.5917
DDT	30.6837	29.0021	32.8983	33.1638	31.3992	31.6747
DDTL	2.01133	2.44866	2.27995	2.34288	2.56698	2.4207
DDTP1	nan	nan	nan	nan	nan	nan
DDX1	94.8984	100.196	102.669	102.691	106.136	106.801
DDX10	13.6941	11.4437	13.0043	13.1061	15.8743	14.4463
DDX10P1	nan	nan	nan	nan	nan	nan
DDX10P2	0.590714	0.733239	0.854631	0.756226	0.554341	0.664197
DDX11	44.513	42.672	38.9776	45.8332	39.7912	37.9022
DDX11-AS1	0.825036	1.51885	0.923926	0.825735	0.957498	0.885597
DDX11L1	0.22678	0.0838808	0.0992258	0.308498	0.216389	0.135558
DDX11L10	nan	nan	nan	nan	nan	nan
DDX11L16	nan	nan	nan	nan	nan	nan
DDX11L2	0.330848	0.439133	0.638184	0.743161	0.546112	0.449642
DDX11L5	nan	nan	nan	nan	nan	nan
DDX11L8	nan	nan	nan	nan	nan	nan
DDX11L9	nan	nan	nan	nan	nan	nan
DDX12P	14.3564	14.4496	12.296	13.1652	11.6639	10.9673
DDX17	334.329	352.785	333.265	286.58	311.556	320.091
DDX18	116.022	117.815	123.346	118.654	127.22	126.585
DDX18P1	0.282869	0.36662	0.115491	0.275245	0.201579	0.387448
DDX18P5	nan	nan	nan	nan	nan	nan
DDX18P6	nan	nan	nan	nan	nan	nan
DDX19A	53.1687	52.7674	52.0312	52.9303	46.9004	47.1438
DDX19B	31.2548	29.0664	28.9685	35.1681	35.113	34.6359
DDX20	20.2487	23.5159	22.7288	22.6701	21.8712	23.33
DDX21	293.43	277.583	282.352	281.826	296.144	287.514
DDX23	132.949	127.426	131.244	130.44	120.469	121.41
DDX24	146.978	144.031	142.128	137.8	145.87	139.87
DDX25	nan	nan	nan	nan	nan	nan
DDX26B	21.1444	21.4473	22.128	20.6685	22.9045	23.3299
DDX26B-AS1	nan	nan	nan	nan	nan	nan
DDX27	132.687	121.69	122.603	149.082	145.112	142.997
DDX28	11.1696	10.984	11.2794	12.4856	10.9939	9.67284
DDX31	21.7616	21.0118	21.8534	23.9771	23.6537	23.9944
DDX39A	102.163	103.125	106.714	140.6	122.837	118.975
DDX39AP1	nan	nan	nan	nan	nan	nan
DDX39B	270.445	275.21	266.209	303.491	301.46	294.652
DDX39B-AS1	nan	nan	nan	nan	nan	nan
DDX39BP1	nan	nan	nan	nan	nan	nan
DDX39BP2	nan	nan	nan	nan	nan	nan
DDX3X	429.057	439.83	452.044	446.138	483.382	487.491
DDX3Y	nan	nan	nan	nan	nan	nan
DDX3YP1	0.282869	0.130936	0.161687	0.0750668	0.226776	0.1107
DDX3YP2	nan	nan	nan	nan	nan	nan
DDX3YP3	nan	nan	nan	nan	nan	nan
DDX4	nan	nan	nan	nan	nan	nan
DDX41	79.7929	76.4399	76.594	89.4045	78.9429	75.7466
DDX42	299.593	282.136	274.553	269.713	280.958	279.884
DDX43	9.59881	9.12108	8.40573	10.0165	11.4787	11.6153
DDX46	123.072	119.36	120.663	106.474	111.221	114.268
DDX47	54.9706	53.4612	56.1487	58.2946	55.1549	57.3343
DDX49	43.7976	42.0563	42.0846	50.8199	46.4891	47.5175
DDX5	1416.59	1485.55	1478.52	1372.47	1473.47	1503.27
DDX50	33.3991	34.1723	36.1701	32.2018	34.5928	33.3472
DDX50P1	1.02559	0.927864	0.923926	1.20207	0.881906	0.940946
DDX50P2	0.910448	1.24755	1.0641	1.02685	1.18737	1.19117
DDX51	32.3414	30.77	31.8292	36.7578	34.2179	29.0035
DDX52	16.2782	17.4144	17.3376	16.9651	18.0665	18.5968
DDX53	nan	nan	nan	nan	nan	nan
DDX54	114.316	109.266	108.054	118.795	102.558	99.857
DDX55	46.9061	46.6864	45.0626	48.4573	48.7999	46.3332
DDX56	54.688	58.2138	58.9463	75.242	61.1538	59.0858
DDX58	5.58667	7.90851	7.96886	7.1814	8.03794	8.52387
DDX59	19.9895	18.5929	19.2407	17.3905	17.6885	18.819
DDX6	217.744	237.126	227.406	171.23	199.36	197.987
DDX60	0.306442	0.523742	1.03942	0.675602	0.932301	1.16235
DDX60L	1.53221	1.36173	1.59377	1.95174	2.31815	2.32469
DDX6P1	nan	nan	nan	nan	nan	nan
DDX6P2	0.330014	0.235684	0.36957	0.225201	0.277171	0.387448
DEAF1	14.6385	13.8268	13.0273	15.7891	14.4885	14.557
DEC1	nan	nan	nan	nan	nan	nan
DECR1	28.3577	31.2674	32.3836	27.5495	28.0447	29.8334
DECR2	12.05	11.1621	10.734	12.1373	10.2897	9.23143
DEDD	27.7984	26.387	25.5695	29.504	26.367	25.5312
DEDD2	21.4509	18.9594	20.1877	20.9187	20.1578	20.2026
DEF6	3.86588	3.43052	3.92668	3.47809	3.04888	3.40401
DEF8	56.2202	55.1761	57.4449	60.9543	52.4608	55.8757
DEFA1	nan	nan	nan	nan	nan	nan
DEFA10P	nan	nan	nan	nan	nan	nan
DEFA11P	nan	nan	nan	nan	nan	nan
DEFA1B	nan	nan	nan	nan	nan	nan
DEFA3	nan	nan	nan	nan	nan	nan
DEFA4	nan	nan	nan	nan	nan	nan
DEFA5	nan	nan	nan	nan	nan	nan
DEFA6	nan	nan	nan	nan	nan	nan
DEFA7P	nan	nan	nan	nan	nan	nan
DEFA8P	nan	nan	nan	nan	nan	nan
DEFA9P	nan	nan	nan	nan	nan	nan
DEFB1	nan	nan	nan	nan	nan	nan
DEFB103A	nan	nan	nan	nan	nan	nan
DEFB103B	nan	nan	nan	nan	nan	nan
DEFB104A	nan	nan	nan	nan	nan	nan
DEFB104B	nan	nan	nan	nan	nan	nan
DEFB105A	nan	nan	nan	nan	nan	nan
DEFB105B	nan	nan	nan	nan	nan	nan
DEFB106A	nan	nan	nan	nan	nan	nan
DEFB106B	nan	nan	nan	nan	nan	nan
DEFB107A	nan	nan	nan	nan	nan	nan
DEFB107B	nan	nan	nan	nan	nan	nan
DEFB108B	nan	nan	nan	nan	nan	nan
DEFB108P1	nan	nan	nan	nan	nan	nan
DEFB108P2	nan	nan	nan	nan	nan	nan
DEFB108P3	nan	nan	nan	nan	nan	nan
DEFB108P4	nan	nan	nan	nan	nan	nan
DEFB109	nan	nan	nan	nan	nan	nan
DEFB109P1	nan	nan	nan	nan	nan	nan
DEFB109P1B	nan	nan	nan	nan	nan	nan
DEFB109P3	nan	nan	nan	nan	nan	nan
DEFB110	nan	nan	nan	nan	nan	nan
DEFB112	nan	nan	nan	nan	nan	nan
DEFB113	nan	nan	nan	nan	nan	nan
DEFB114	nan	nan	nan	nan	nan	nan
DEFB115	nan	nan	nan	nan	nan	nan
DEFB116	nan	nan	nan	nan	nan	nan
DEFB117	nan	nan	nan	nan	nan	nan
DEFB118	nan	nan	nan	nan	nan	nan
DEFB119	nan	nan	nan	nan	nan	nan
DEFB121	nan	nan	nan	nan	nan	nan
DEFB122	nan	nan	nan	nan	nan	nan
DEFB123	nan	nan	nan	nan	nan	nan
DEFB124	nan	nan	nan	nan	nan	nan
DEFB125	nan	nan	nan	nan	nan	nan
DEFB126	nan	nan	nan	nan	nan	nan
DEFB127	nan	nan	nan	nan	nan	nan
DEFB128	nan	nan	nan	nan	nan	nan
DEFB129	nan	nan	nan	nan	nan	nan
DEFB130	nan	nan	nan	nan	nan	nan
DEFB131	nan	nan	nan	nan	nan	nan
DEFB132	nan	nan	nan	nan	nan	nan
DEFB133	nan	nan	nan	nan	nan	nan
DEFB134	nan	nan	nan	nan	nan	nan
DEFB135	nan	nan	nan	nan	nan	nan
DEFB136	nan	nan	nan	nan	nan	nan
DEFB4A	nan	nan	nan	nan	nan	nan
DEFB4B	nan	nan	nan	nan	nan	nan
DEFT1P	nan	nan	nan	nan	nan	nan
DEFT1P2	nan	nan	nan	nan	nan	nan
DEGS1	14.8742	14.5339	16.3772	11.6121	13.2548	11.5127
DEGS2	6.74172	7.17526	7.13732	6.30561	6.27413	5.75637
DEK	180.704	194.36	187.739	136.223	167.21	172.442
DENND1A	16.7365	16.9692	15.8684	13.2368	12.2963	11.4021
DENND1B	22.5824	26.3073	23.6678	10.8346	15.0347	14.723
DENND1C	4.6202	5.78736	5.58975	5.80517	7.03006	8.24712
DENND2A	nan	nan	nan	nan	nan	nan
DENND2C	14.2614	15.6599	14.2747	10.109	14.6901	14.3633
DENND2D	22.0639	22.9399	21.2966	22.2447	20.3595	19.5662
DENND3	10.914	11.0248	10.2787	12.9615	13.0774	12.9519
DENND4A	33.4465	32.8888	32.5638	30.7022	38.9276	36.5285
DENND4B	73.3342	68.2169	69.0396	86.728	75.743	70.3768
DENND4C	53.1559	57.821	52.2944	42.9131	51.3522	52.3056
DENND5A	32.5535	28.1511	27.8795	28.2001	29.4304	30.6362
DENND5B	5.8224	5.02793	4.80442	4.77925	4.51032	4.92613
DENND5B-AS1	nan	nan	nan	nan	nan	nan
DENND6A	17.7029	19.4047	18.594	13.9124	15.6223	15.2489
DENND6B	4.3609	4.059	3.44162	2.67738	3.22526	2.79516
DENR	98.226	110.088	108.099	88.3783	105.424	105.164
DEPDC1	40.1847	42.3413	45.3307	30.601	35.1169	34.5538
DEPDC1B	18.0801	18.3834	19.9337	17.7908	18.0665	17.7949
DEPDC4	1.06076	1.28317	1.36279	0.925825	2.03409	1.57747
DEPDC5	9.33469	9.19168	10.0708	10.134	9.57498	8.77294
DEPDC7	nan	nan	nan	nan	nan	nan
DEPTOR	8.22971	9.94942	10.734	8.0033	8.82643	9.36736
DERA	6.48242	7.4895	7.20662	6.03038	6.47571	5.97778
DERL1	117.319	117.703	120.627	135.187	138.883	138.756
DERL2	32.6259	34.3053	33.886	38.8346	43.3403	44.1425
DERL3	0.141435	0.235684	0.207883	0.150134	0.251973	0.359774
DES	nan	nan	nan	nan	nan	nan
DESI1	20.3902	19.5094	20.4881	21.2689	19.276	18.9573
DESI2	31.7757	33.3624	34.7627	30.5272	31.673	33.4036
DET1	3.60658	3.32017	3.51092	3.22788	3.62841	3.48055
DEXI	11.7447	11.7783	11.5114	12.1487	9.12892	9.20356
DFFA	51.4348	52.2631	53.6312	56.3491	57.3889	59.7187
DFFB	3.96018	4.16375	4.25006	3.45308	3.65361	3.45936
DFNA5	nan	nan	nan	nan	nan	nan
DFNB31	18.0329	16.9693	15.06	15.0134	15.6727	15.6917
DFNB59	0.353587	0.36662	0.346472	0.200178	0.251973	0.332099
DGAT1	14.3556	12.7793	13.5586	13.6871	11.4144	10.1013
DGAT2	6.71815	6.96577	6.86015	6.80607	5.75903	6.3929
DGAT2L6	nan	nan	nan	nan	nan	nan
DGAT2L7P	nan	nan	nan	nan	nan	nan
DGCR10	nan	nan	nan	nan	nan	nan
DGCR11	1.48506	1.59741	1.63997	1.72654	1.73862	1.85422
DGCR14	14.5442	12.7008	14.1822	16.3642	12.901	13.7268
DGCR2	58.3183	58.0826	55.6661	63.1308	53.3426	52.0007
DGCR5	0.942898	1.07367	0.900828	0.650579	0.932301	0.636522
DGCR6	2.32315	2.16764	2.28991	2.0303	1.80746	2.2041
DGCR6L	16.702	15.9511	16.9748	19.701	14.4467	15.001
DGCR8	47.6165	51.2221	47.9286	50.795	47.6736	46.5771
DGCR9	0.683601	0.674692	0.554349	0.700624	0.77454	0.885597
DGKA	12.9236	12.8317	11.5029	12.7363	11.5404	13.3946
DGKB	nan	nan	nan	nan	nan	nan
DGKD	45.5539	46.1602	43.1177	49.7682	46.2101	46.2611
DGKE	48.677	51.9033	49.3146	34.9808	42.4072	40.7924
DGKG	nan	nan	nan	nan	nan	nan
DGKH	66.3092	72.067	62.1341	59.1026	76.1214	69.6022
DGKI	nan	nan	nan	nan	nan	nan
DGKK	nan	nan	nan	nan	nan	nan
DGKQ	19.4474	18.1738	17.8316	24.3219	18.8981	17.5736
DGKZ	104.438	93.3435	95.8592	124.365	104.531	102.399
DGKZP1	5.29229	5.12042	4.38655	6.97636	4.67381	4.50918
DGUOK	16.7365	15.9218	15.4989	13.8623	13.279	13.2009
DGUOK-AS1	0.471449	0.707052	0.716043	0.525468	0.856709	0.996296
DHCR24	164.553	163.169	170.715	222.62	178.774	184.942
DHCR7	164.65	159.189	164.064	223.651	190.27	184.373
DHDDS	22.5825	22.2329	21.6892	29.3762	29.4304	29.7228
DHDH	nan	nan	nan	nan	nan	nan
DHFR	95.9423	96.537	98.92	77.7565	78.7549	81.1125
DHFRL1	6.78888	6.67772	6.77	6.3388	5.79725	6.78036
DHFRP1	14.5003	15.1133	14.795	15.8759	12.3985	12.6241
DHFRP2	nan	nan	nan	nan	nan	nan
DHH	nan	nan	nan	nan	nan	nan
DHODH	9.7354	10.2391	9.40095	10.9347	9.97817	9.71388
DHPS	39.5074	42.2922	42.6392	45.7409	43.2861	45.4976
DHRS1	12.7763	15.529	14.6211	13.8123	13.2286	13.7821
DHRS11	7.33103	7.43714	7.39141	7.85699	6.67729	6.55895
DHRS12	2.61654	2.22591	2.30982	2.60232	2.44414	2.49074
DHRS13	8.57903	8.40877	9.61504	9.63474	8.0034	6.84728
DHRS2	8.39179	7.82995	8.29224	12.286	9.29781	8.1641
DHRS3	2.33367	2.48778	1.57067	3.12778	2.31815	2.43539
DHRS4	16.5848	18.1541	17.9292	16.4066	15.1934	15.5552
DHRS4-AS1	20.9603	20.9562	21.6691	15.3384	14.3293	15.3943
DHRS4L2	7.84898	8.46304	8.39454	9.18532	7.84062	7.32076
DHRS7	21.1209	21.7353	23.2136	22.2199	23.5092	25.2396
DHRS7B	11.1969	10.9462	10.6021	13.7373	11.868	13.5884
DHRS7C	nan	nan	nan	nan	nan	nan
DHRS9	nan	nan	nan	nan	nan	nan
DHRSX	nan	nan	nan	nan	nan	nan
DHRSX-IT1	nan	nan	nan	nan	nan	nan
DHTKD1	65.7907	65.8868	69.1792	67.335	65.2862	65.4511
DHX15	140.562	143.768	140.599	137.847	141.406	142.001
DHX16	51.0815	50.2274	47.8598	57.4516	52.2343	51.1428
DHX29	44.881	47.2673	44.8104	33.5296	36.3097	36.6965
DHX30	59.356	57.2976	59.3861	57.9018	50.9743	51.3646
DHX32	36.8516	37.9888	38.2192	35.8793	35.0434	38.1227
DHX33	51.0107	50.0173	48.0211	53.723	50.9489	48.348
DHX34	37.5272	33.1004	33.9774	39.285	34.1675	33.3483
DHX35	7.73177	7.30621	7.36831	8.13224	7.08044	6.89105
DHX36	100.042	107.603	104.288	91.1318	113.892	116.068
DHX37	45.6361	43.6801	45.9191	62.4307	50.9234	52.7758
DHX38	113.337	103.122	102.315	111.194	110.996	105.44
DHX40	134.963	144.054	142.811	123.832	136.905	135.912
DHX40P1	0.81905	0.486652	0.473775	0.470512	0.483125	0.369133
DHX57	29.937	31.2935	30.3971	26.0482	30.136	29.4738
DHX58	0.259297	0.288058	0.207883	0.300267	0.251973	0.249074
DHX8	40.4264	42.7637	40.399	46.3658	43.5406	41.0142
DHX9	258.842	258.417	269.437	272.141	259.109	254.947
DHX9P1	0.259297	0.445181	0.392712	0.475423	0.327565	0.415123
DIABLO	44.1723	43.5305	44.0397	47.624	44.354	45.0921
DIAPH1	233.041	224.762	219.57	284.281	257.441	258.595
DIAPH2	10.419	11.7842	10.0246	7.15638	8.91986	8.71758
DIAPH2-AS1	nan	nan	nan	nan	nan	nan
DIAPH3	14.8742	13.5912	14.2285	12.1358	13.7073	13.45
DIAPH3-AS1	nan	nan	nan	nan	nan	nan
DIAPH3-AS2	nan	nan	nan	nan	nan	nan
DICER1	248.148	256.509	239.877	165.395	191.07	189.214
DICER1-AS1	2.5694	3.01152	2.91037	1.50134	1.46144	1.60514
DIDO1	198.215	183.546	180.399	180.136	175.902	166.217
DIEXF	15.2042	16.655	15.7991	17.4655	18.0413	16.688
DIMT1	26.1182	27.7321	24.7613	22.6702	23.8367	23.7727
DIO1	0.518594	0.445181	0.669846	0.32529	0.277171	0.415123
DIO2	0.942898	1.23079	1.2704	1.45129	0.982696	0.940947
DIO2-AS1	nan	nan	nan	nan	nan	nan
DIO3	0.612884	0.680865	0.831533	1.02591	0.982695	0.774897
DIO3OS	0.589311	0.628491	0.831533	1.00089	0.75592	0.691872
DIP2A	88.9385	90.1362	83.7766	87.4277	94.2382	95.8661
DIP2A-IT1	nan	nan	nan	nan	nan	nan
DIP2B	100.7	100.034	99.6667	100.164	102.148	102.536
DIP2C	45.5422	46.5871	46.6352	38.209	38.426	36.6415
DIRAS1	3.77159	3.90188	3.92668	3.45308	3.09927	2.98889
DIRAS2	0.730746	0.680865	0.62365	0.600535	0.75592	1.02397
DIRAS3	nan	nan	nan	nan	nan	nan
DIRC1	nan	nan	nan	nan	nan	nan
DIRC2	9.00468	9.82017	9.49335	3.87846	4.28354	4.34496
DIRC3	1.13148	0.733239	1.36279	0.700624	1.10868	0.885597
DIS3	41.5166	38.933	40.8115	37.8864	41.4579	42.7753
DIS3L	20.8145	20.8973	22.1973	8.65771	8.28992	7.99805
DIS3L2	8.81477	9.66807	9.91937	8.8738	9.2259	9.09331
DIS3L2P1	nan	nan	nan	nan	nan	nan
DISC1	0.707174	0.890362	0.712997	0.975868	1.36066	0.940946
DISC1-IT1	nan	nan	nan	nan	nan	nan
DISC1FP1	nan	nan	nan	nan	nan	nan
DISP1	4.05446	3.79713	3.6957	3.65325	3.7796	3.23796
DISP2	0.872181	0.942736	0.840549	1.02591	1.10868	0.830247
DIXDC1	4.80878	4.50418	4.41175	3.52814	5.16545	4.53868
DKC1	118.616	111.373	115.052	123.034	116.916	110.81
DKFZP434A062	nan	nan	nan	nan	nan	nan
DKFZP434E1119	0.391472	0.371581	0.255442	0.140193	0.194694	0.239341
DKFZP434H0512	nan	nan	nan	nan	nan	nan
DKFZP434O1614	nan	nan	nan	nan	nan	nan
DKFZP547L112	nan	nan	nan	nan	nan	nan
DKFZP667F0711	0.471449	0.418994	0.438865	0.300267	0.37796	0.470473
DKFZP761J1410	43.6329	40.1709	40.4448	45.9659	38.2492	38.4403
DKFZP779J2370	0.224443	0.0855488	0.229805	0.0865434	0.111201	0.325216
DKFZP779L1853	nan	nan	nan	nan	nan	nan
DKK1	72.2021	76.1787	76.4544	84.6759	94.2878	100.405
DKK2	nan	nan	nan	nan	nan	nan
DKK3	nan	nan	nan	nan	nan	nan
DKK4	nan	nan	nan	nan	nan	nan
DKKL1	nan	nan	nan	nan	nan	nan
DKKL1P1	nan	nan	nan	nan	nan	nan
DLAT	31.6342	32.8909	30.9515	16.3646	15.6475	13.5053
DLC1	53.1087	51.4578	48.9911	45.2151	46.4136	47.9604
DLD	93.9598	97.3109	100.314	76.7191	83.3024	85.2389
DLEC1	0.181457	0.299572	0.115002	0.222265	0.292046	0.222087
DLEC1P1	nan	nan	nan	nan	nan	nan
DLEU1	3.18228	2.98533	3.7419	3.32796	4.00637	3.76378
DLEU2	3.88663	4.15966	3.91796	2.42716	4.30874	4.53868
DLEU2L	0.285696	0.527837	0.516887	0.350312	0.428354	0.415123
DLEU7	0.589311	0.759427	0.508159	0.500446	0.781117	0.885596
DLEU7-AS1	nan	nan	nan	nan	nan	nan
DLG1	84.1066	84.3223	86.4566	75.3422	89.652	92.7942
DLG1-AS1	nan	nan	nan	nan	nan	nan
DLG2	0.471449	0.781003	0.669841	0.500446	0.529144	0.470473
DLG3	32.9542	33.3624	32.8226	32.3036	31.6478	32.7671
DLG3-AS1	nan	nan	nan	nan	nan	nan
DLG4	4.3609	4.42563	4.55033	4.35388	4.45993	4.17891
DLG5	231.271	218.368	222.768	234.527	238.855	232.965
DLG5-AS1	0.282869	0.288058	0.508159	0.0500446	0.327565	0.221399
DLGAP1	nan	nan	nan	nan	nan	nan
DLGAP1-AS1	1.53221	1.33554	1.77856	1.40125	1.76381	1.71584
DLGAP1-AS2	4.92664	4.92318	4.82751	6.58086	8.59229	7.80432
DLGAP1-AS3	nan	nan	nan	nan	nan	nan
DLGAP1-AS4	nan	nan	nan	nan	nan	nan
DLGAP1-AS5	nan	nan	nan	nan	nan	nan
DLGAP2	nan	nan	nan	nan	nan	nan
DLGAP3	1.48506	1.33554	1.13181	1.45129	0.806314	1.30072
DLGAP4	44.8345	39.3594	38.1813	49.669	47.7233	43.8924
DLGAP5	60.6509	62.4561	65.1609	61.7311	65.6124	66.4198
DLGAP5P1	nan	nan	nan	nan	nan	nan
DLK1	nan	nan	nan	nan	nan	nan
DLK2	0.683601	0.54993	0.485061	0.625557	0.629933	0.691872
DLL1	12.0927	12.5436	12.1727	11.185	8.21433	9.04969
DLL3	nan	nan	nan	nan	nan	nan
DLL4	1.03719	1.04748	1.31659	1.27614	1.36066	1.07932
DLST	98.5082	101.423	100.984	109.649	97.9411	98.1905
DLX1	6.01097	5.60405	4.78131	4.20374	3.55282	3.81914
DLX2	4.50234	3.69238	4.01908	4.22877	3.72921	3.43168
DLX3	6.41171	6.20635	7.13733	5.07952	5.16545	4.64938
DLX4	3.20585	3.01152	3.14135	2.82752	2.8221	3.15494
DLX5	nan	nan	nan	nan	nan	nan
DLX6	nan	nan	nan	nan	nan	nan
DLX6-AS1	nan	nan	nan	nan	nan	nan
DLX6-AS2	nan	nan	nan	nan	nan	nan
DMAP1	21.003	22.4947	21.9201	24.9472	23.0555	22.2506
DMBT1	nan	nan	nan	nan	nan	nan
DMBX1	0.330014	0.36662	0.577454	0.375334	0.428354	0.332099
DMC1	1.17862	1.25698	1.13181	0.725646	0.982695	0.913271
DMD	0.400732	0.471368	0.531257	0.700624	0.554341	0.747222
DMD-AS3	nan	nan	nan	nan	nan	nan
DMGDH	0.330014	0.261871	0.230981	0.474088	0.579538	0.387448
DMKN	30.0077	28.4392	30.1893	34.5808	36.2337	34.8427
DMP1	0.353587	0.314245	0.485061	0.300267	0.403157	0.276749
DMPK	42.0056	39.0689	41.4801	47.0401	39.7079	43.9179
DMRT1	nan	nan	nan	nan	nan	nan
DMRT2	0.282869	0.445181	0.62365	0.475423	0.529144	0.525823
DMRT3	nan	nan	nan	nan	nan	nan
DMRTA1	6.57671	6.99196	5.84383	4.07863	5.29144	5.86708
DMRTA2	nan	nan	nan	nan	nan	nan
DMRTB1	nan	nan	nan	nan	nan	nan
DMRTC1	nan	nan	nan	nan	nan	nan
DMRTC1B	nan	nan	nan	nan	nan	nan
DMRTC2	nan	nan	nan	nan	nan	nan
DMTF1	70.742	71.4537	68.3474	65.9586	73.5688	74.4837
DMTN	9.61755	8.43225	8.7542	4.70419	3.98118	4.06821
DMWD	41.5816	38.4953	38.2473	50.1446	42.7286	40.3191
DMXL1	56.1729	55.6213	55.7118	47.5172	58.8364	59.4452
DMXL2	95.8441	101.956	92.8315	76.7179	90.0504	89.9962
DNA2	21.8045	22.5209	23.4908	19.8927	17.9405	18.7083
DNAAF1	2.38809	2.42686	2.84227	2.80517	3.10901	3.40401
DNAAF2	18.033	20.4783	18.8249	18.7918	17.9405	19.7598
DNAAF3	2.87584	2.88058	2.7879	3.27127	2.69055	2.76749
DNAH1	3.81874	3.6662	2.91037	2.45218	2.62052	2.57376
DNAH10	0.523138	0.644231	0.514062	0.364802	0.663284	0.602087
DNAH10OS	4.76838	3.87203	4.09926	3.27731	4.37143	3.67324
DNAH11	1.43165	1.71742	1.28435	1.62654	1.76966	1.95899
DNAH12	nan	nan	nan	nan	nan	nan
DNAH14	4.45519	5.21124	5.35877	4.62912	4.76229	4.95381
DNAH17	0.919325	0.968923	1.06251	1.20107	0.945317	1.32839
DNAH17-AS1	nan	nan	nan	nan	nan	nan
DNAH2	0.141435	0.340433	0.0692944	0.300267	0.277171	0.193724
DNAH3	1.3672	1.38792	1.45518	1.62645	1.48664	1.63282
DNAH5	2.5694	2.77584	2.30982	3.45308	3.30085	2.98889
DNAH6	0.165007	0.288058	0.230981	0.225201	0.201579	0.359774
DNAH7	0.330014	0.707052	0.854632	0.600535	0.453552	0.664197
DNAH8	nan	nan	nan	nan	nan	nan
DNAH9	nan	nan	nan	nan	nan	nan
DNAI1	nan	nan	nan	nan	nan	nan
DNAI2	nan	nan	nan	nan	nan	nan
DNAJA1	195.855	201.045	210.598	209.042	209.924	210.723
DNAJA1P1	nan	nan	nan	nan	nan	nan
DNAJA1P2	nan	nan	nan	nan	nan	nan
DNAJA1P3	nan	nan	nan	nan	nan	nan
DNAJA1P4	nan	nan	nan	nan	nan	nan
DNAJA1P5	nan	nan	nan	nan	nan	nan
DNAJA1P6	nan	nan	nan	nan	nan	nan
DNAJA2	66.8985	71.9885	70.4265	74.2912	79.2963	79.5101
DNAJA3	70.7407	66.4888	68.0007	75.5675	66.4454	64.9253
DNAJA4	41.6995	42.7374	44.8102	43.8891	44.3473	42.9514
DNAJB1	180.072	176.807	179.699	203.147	189.489	186.238
DNAJB11	129.231	118.684	125.239	160.947	184.276	181.163
DNAJB12	53.1084	47.2679	45.4575	51.4955	46.8164	47.1028
DNAJB13	nan	nan	nan	nan	nan	nan
DNAJB14	34.949	39.6956	39.7059	24.192	33.735	33.9805
DNAJB1P1	nan	nan	nan	nan	nan	nan
DNAJB2	41.4405	40.0401	40.9069	45.4907	44.2214	46.8814
DNAJB3	nan	nan	nan	nan	nan	nan
DNAJB4	5.20951	6.28491	6.39819	6.03037	7.40802	7.27849
DNAJB5	7.0953	5.81354	5.98242	7.93206	8.74347	8.74525
DNAJB6	116.853	119.262	119.535	106.378	126.522	126.82
DNAJB7	0.374693	0.176969	0.231939	0.22238	0.304074	0.148326
DNAJB8	nan	nan	nan	nan	nan	nan
DNAJB8-AS1	nan	nan	nan	nan	nan	nan
DNAJB9	121.965	114.902	127.964	146.356	213.111	220.179
DNAJC1	28.0276	28.0726	27.6947	29.4012	33.7644	32.7118
DNAJC10	92.2151	97.4937	97.0583	97.7122	122.612	124.675
DNAJC11	40.2047	37.994	39.624	45.1538	38.7472	37.1884
DNAJC12	5.53953	5.52548	5.89003	5.68006	6.72768	6.725
