Gene	C42B_siZFX_rep1	C42B_siZFX_rep2	C42B_siZFX_rep3	C42B_siCtrl_rep1	C42B_siCtrl_rep2	C42B_siCtrl_rep3
5S_rRNA	nan	nan	nan	nan	nan	nan
7SK	nan	nan	nan	nan	nan	nan
ERI3	16.4841	17.217	17.6243	20.5634	21.9242	19.9608
ERI3-IT1	nan	nan	nan	nan	nan	nan
ERICH1	22.2702	21.9068	22.6343	16.5518	16.2987	16.006
ERICH1-AS1	nan	nan	nan	nan	nan	nan
ERICH2	nan	nan	nan	nan	nan	nan
ERLEC1	25.975	25.7184	26.3223	26.0245	25.5977	25.4079
ERLEC1P1	nan	nan	nan	nan	nan	nan
ERLIN1	24.9342	24.2195	25.539	25.9908	25.5744	24.8484
ERLIN2	72.0972	72.1446	70.5412	86.2964	90.9752	87.9399
ERMAP	4.70379	4.64581	4.17598	5.12056	4.94319	4.10409
ERMARD	11.1975	10.0647	10.0688	13.7876	12.4984	12.0511
ERMN	nan	nan	nan	nan	nan	nan
ERMP1	52.6178	50.0958	49.8412	55.8248	56.3003	54.4435
ERN1	42.4174	44.4559	41.7437	34.2498	32.9094	32.3104
ERN2	nan	nan	nan	nan	nan	nan
ERO1L	61.9818	64.1141	64.3294	65.7693	69.8501	65.3669
ERO1LB	4.70379	4.75395	4.50401	7.34889	7.08089	7.01427
ERP27	nan	nan	nan	nan	nan	nan
ERP29	76.7184	76.4921	76.9412	59.7689	62.7789	63.0172
ERP29P1	0.499517	0.192728	0.326378	0.101131	0.150166	0.11193
ERP44	48.2867	47.8821	49.642	46.6553	50.9408	47.5702
ERRFI1	38.1715	42.3786	39.818	36.205	38.1652	39.1009
ERV3-1	2.91071	3.24296	2.53729	3.32727	3.32014	3.65637
ERVFRD-1	0.124879	0.0642426	0.0326378	0.134842	0.161717	0.18655
ERVH48-1	0.666023	0.364041	0.522204	0.606789	0.38119	0.634269
ERVK13-1	15.7117	15.1272	14.6233	19.1776	18.3312	17.7906
ERVK3-1	65.2782	68.184	68.3753	53.1981	56.0749	53.1304
ERVMER34-1	29.7212	29.6371	30.6468	38.1603	40.5216	42.6077
ERVMER61-1	nan	nan	nan	nan	nan	nan
ERVV-1	nan	nan	nan	nan	nan	nan
ERVV-2	nan	nan	nan	nan	nan	nan
ERVW-1	0.166506	0.25697	0.130551	0.438236	0.265678	0.485029
ERVWE2	nan	nan	nan	nan	nan	nan
ESAM	0.374638	0.321213	0.620118	0.168552	0.369639	0.335789
ESCO1	31.6363	33.2351	35.004	34.6542	36.8602	36.4518
ESCO2	26.9323	21.4999	23.9889	37.7895	40.3134	41.5259
ESD	86.1257	83.3645	86.36	81.7473	79.2425	80.813
ESF1	53.157	53.1929	55.3047	41.2616	43.1438	41.9364
ESM1	nan	nan	nan	nan	nan	nan
ESPL1	33.0515	32.2499	30.5653	60.6454	56.6353	58.5391
ESPN	1.74831	2.10629	2.14	2.12376	2.53152	2.2386
ESPNL	nan	nan	nan	nan	nan	nan
ESPNP	0.457891	0.599597	0.58748	0.842762	0.519804	0.419546
ESR1	nan	nan	nan	nan	nan	nan
ESR2	0.416274	0.321213	0.331128	0.505657	0.443219	0.566462
ESRG	nan	nan	nan	nan	nan	nan
ESRP1	59.4428	59.4673	61.7509	66.612	68.3833	68.6501
ESRP2	73.6591	77.153	73.4845	69.7665	71.9655	71.5948
ESRRA	118.606	126.043	123.931	97.7895	85.6363	88.4255
ESRRAP1	0.208867	0.343309	0.488423	0.300295	0.243417	0.224853
ESRRAP2	nan	nan	nan	nan	nan	nan
ESRRB	nan	nan	nan	nan	nan	nan
ESRRG	0.416265	0.25697	0.228464	0.168552	0.196371	0.11193
ESX1	nan	nan	nan	nan	nan	nan
ESYT1	108.352	107.476	106.693	106.763	101.54	101.555
ESYT2	72.0142	70.4102	71.182	74.3655	77.4274	75.5156
ESYT3	12.7377	11.9919	12.0597	11.8324	12.406	13.4689
ETAA1	18.1491	17.1314	17.5102	20.5971	21.0463	22.1248
ETF1	255.215	256.847	253.63	220.368	218.067	224.05
ETF1P1	0.224811	0.128485	0.195827	0.168552	0.127063	0.11193
ETF1P2	0.48325	0.664153	0.604233	0.370815	0.36978	0.447978
ETF1P3	nan	nan	nan	nan	nan	nan
ETFA	152.561	146.686	157.299	140.102	138.155	136.368
ETFB	101.295	101.206	106.355	83.7006	83.3673	79.3355
ETFDH	34.3703	32.2213	34.7999	30.9875	30.431	31.1108
ETHE1	3.49662	3.89738	3.94917	2.76426	3.24261	3.43251
ETNK1	74.8859	75.1212	72.9617	74.4664	74.1704	73.1275
ETNK2	1.08229	1.30627	1.41974	1.82036	1.99836	1.52971
ETNPPL	0.624397	0.25697	0.44061	0.134842	0.231024	0.22386
ETS1	0.457891	0.278385	0.342697	0.438236	0.369639	0.261169
ETS2	3.37174	3.19072	3.41065	4.68576	4.7822	5.14877
ETV1	nan	nan	nan	nan	nan	nan
ETV2	1.20717	1.19919	1.27287	1.34842	0.912546	1.00737
ETV3	36.881	37.7318	35.363	29.463	30.8071	30.221
ETV3L	nan	nan	nan	nan	nan	nan
ETV4	nan	nan	nan	nan	nan	nan
ETV5	0.124879	0.171314	0.163189	0.101131	0.196371	0.11193
ETV5-AS1	nan	nan	nan	nan	nan	nan
ETV6	13.8616	13.8764	14.5075	12.6414	13.1915	11.1184
ETV7	0.166506	0.128485	0.0979133	0.0674209	0.138614	0.298479
EVA1A	nan	nan	nan	nan	nan	nan
EVA1B	4.96073	4.49765	3.89123	3.89114	3.76941	4.53998
EVA1C	0.915782	0.835154	0.864901	1.07874	1.21288	0.820818
EVC	8.57215	7.94368	6.91885	19.5857	20.8732	20.7439
EVC2	nan	nan	nan	nan	nan	nan
EVI2A	nan	nan	nan	nan	nan	nan
EVI2B	nan	nan	nan	nan	nan	nan
EVI5	11.0726	9.85053	11.0969	11.3941	11.6898	10.9318
EVI5L	25.9332	26.5535	24.4129	28.519	27.7807	29.0271
EVL	24.6845	24.712	22.6996	27.5752	28.1966	27.0124
EVPL	41.0852	41.03	39.1646	53.7347	54.0479	55.1818
EVPLL	nan	nan	nan	nan	nan	nan
EVX1	0.208134	0.535053	0.407972	0.606789	0.515667	0.410409
EVX1-AS	nan	nan	nan	nan	nan	nan
EVX2	nan	nan	nan	nan	nan	nan
EWSR1	306.367	309.782	310.26	324.762	328.267	322.653
EXD1	0.0832529	0.149899	0.244783	0.0674209	0.115512	0.11193
EXD2	20.0639	20.7932	20.6473	26.2605	27.413	26.6767
EXD3	2.08132	1.92728	1.71348	2.86539	3.22279	2.72362
EXO1	24.9342	23.4913	25.1148	34.5196	35.5202	35.9669
EXO5	4.12102	5.11005	5.76449	6.06788	6.16834	6.04421
EXOC1	37.7968	38.1172	35.2978	26.4627	26.5332	28.8778
EXOC2	17.1501	18.2234	17.2164	15.5068	16.1718	16.0059
EXOC3	49.9405	48.7665	49.5668	40.1756	39.9828	41.1523
EXOC3L1	0.416265	0.40687	0.522204	0.640499	0.519804	0.708889
EXOC3L2	nan	nan	nan	nan	nan	nan
EXOC3L4	0.208132	0.0856568	0.195827	0.337105	0.196371	0.298479
EXOC4	37.8385	35.3337	37.5498	27.6089	28.5083	26.1169
EXOC5	105.98	102.808	103.368	158.975	161.6	164.535
EXOC5P1	1.37488	0.878832	0.86556	1.72267	1.72339	1.8655
EXOC6	8.82482	9.61496	10.7378	9.70862	8.22446	8.20818
EXOC6B	6.57698	6.83113	7.21294	9.37152	10.0034	9.36479
EXOC7	91.4426	85.3345	85.829	91.5044	90.4988	93.417
EXOC7P1	nan	nan	nan	nan	nan	nan
EXOC8	33.351	36.8024	34.2579	27.5213	26.8445	28.0269
EXOG	6.95162	5.76042	6.56019	8.86586	8.36309	9.43941
EXOGP1	nan	nan	nan	nan	nan	nan
EXOSC1	20.8133	22.5278	22.21	19.4847	19.4292	21.2666
EXOSC10	62.5997	64.8111	67.2469	64.9474	66.3758	65.2302
EXOSC2	58.5268	53.7496	55.4028	66.3087	64.0398	63.688
EXOSC3	36.7147	35.2904	37.3866	40.4526	38.8586	40.7797
EXOSC3P1	nan	nan	nan	nan	nan	nan
EXOSC3P2	nan	nan	nan	nan	nan	nan
EXOSC4	25.5926	28.2004	28.8802	27.0317	25.2317	23.661
EXOSC5	9.03296	11.4566	10.5257	9.60749	8.12047	8.50667
EXOSC6	20.6883	21.7782	23.8582	29.227	28.7741	29.6987
EXOSC7	30.4706	30.2155	32.3277	29.0921	26.6255	25.5572
EXOSC8	30.566	30.5377	33.8459	32.6411	33.1278	31.7074
EXOSC9	35.8919	38.3683	39.6887	41.6431	42.992	40.3678
EXPH5	29.6381	28.6736	27.8239	29.2606	30.1953	32.124
EXT1	8.07553	8.33012	8.71427	10.0794	10.0842	9.88714
EXT2	16.7755	14.84	16.3026	32.3284	30.2526	29.3257
EXTL1	0.0832529	0.128485	0.14687	0.101131	0.138614	0.14924
EXTL2	43.2335	37.8265	39.8836	34.2443	33.8146	33.4501
EXTL2P1	nan	nan	nan	nan	nan	nan
EXTL3	22.6448	22.0351	22.6832	36.3397	34.2376	35.0342
EXTL3-AS1	0.499517	0.321213	0.326378	0.842762	0.750828	0.746198
EYA1	nan	nan	nan	nan	nan	nan
EYA2	1.74831	2.26991	2.18673	3.03394	2.92246	2.649
EYA3	43.8743	45.8903	45.888	37.9916	38.6735	39.6605
EYA4	nan	nan	nan	nan	nan	nan
EYS	0.457891	0.535355	0.195827	0.202263	0.358087	0.485029
EZH1	14.1114	13.6194	13.5447	14.091	13.6767	12.76
EZH2	43.25	43.4065	44.3383	52.2177	53.0088	52.6071
EZH2P1	nan	nan	nan	nan	nan	nan
EZR	52.3661	55.7408	51.6821	45.0373	47.8453	45.2943
EZR-AS1	nan	nan	nan	nan	nan	nan
F10	0.499517	0.642426	0.669074	0.640499	0.508253	0.634269
F10-AS1	nan	nan	nan	nan	nan	nan
F11	nan	nan	nan	nan	nan	nan
F11-AS1	0.374635	0.235556	0.375334	0.303394	0.508253	0.241211
F11R	101.944	101.096	102.727	91.5914	95.5962	94.7298
F12	20.4328	22.6262	22.9249	23.5124	23.1858	22.296
F13A1	0.0832529	0.171314	0.212145	0.101131	0.138614	0.373099
F13B	nan	nan	nan	nan	nan	nan
F2	0.166506	0.299799	0.244783	0.168552	0.127063	0.18655
F2R	4.70379	5.03234	5.72793	8.66359	8.1436	8.58128
F2RL1	19.5644	20.6861	18.9299	20.7994	21.774	21.0055
F2RL2	nan	nan	nan	nan	nan	nan
F2RL3	nan	nan	nan	nan	nan	nan
F3	nan	nan	nan	nan	nan	nan
F5	0.124879	0.385455	0.424291	0.404526	0.612214	0.746199
F7	nan	nan	nan	nan	nan	nan
F8	2.87222	3.08745	3.49486	3.71071	3.21792	3.2148
F8A1	13.6783	13.8121	14.2561	16.5777	17.9534	17.3901
F8A2	1.00794	1.83787	0.56199	1.21913	1.22238	0.654169
F8A3	2.92171	2.18803	3.85072	3.2386	2.78316	5.27444
F9	nan	nan	nan	nan	nan	nan
FA2H	0.499517	0.40687	0.473248	0.977604	0.716175	0.559649
FAAH	26.4744	29.0163	30.0758	42.8122	40.822	38.5413
FAAH2	1.62343	1.82021	1.50134	0.876472	1.06271	1.1193
FABP1	nan	nan	nan	nan	nan	nan
FABP12	nan	nan	nan	nan	nan	nan
FABP12P1	nan	nan	nan	nan	nan	nan
FABP2	nan	nan	nan	nan	nan	nan
FABP3	nan	nan	nan	nan	nan	nan
FABP3P2	nan	nan	nan	nan	nan	nan
FABP4	nan	nan	nan	nan	nan	nan
FABP5	0.0832529	0.0856568	0.0652755	0.0674209	0.171396	0.0373099
FABP5P1	nan	nan	nan	nan	nan	nan
FABP5P10	nan	nan	nan	nan	nan	nan
FABP5P11	nan	nan	nan	nan	nan	nan
FABP5P12	nan	nan	nan	nan	nan	nan
FABP5P13	nan	nan	nan	nan	nan	nan
FABP5P14	nan	nan	nan	nan	nan	nan
FABP5P15	nan	nan	nan	nan	nan	nan
FABP5P2	nan	nan	nan	nan	nan	nan
FABP5P3	nan	nan	nan	nan	nan	nan
FABP5P4	nan	nan	nan	nan	nan	nan
FABP5P5	nan	nan	nan	nan	nan	nan
FABP5P6	nan	nan	nan	nan	nan	nan
FABP5P7	nan	nan	nan	nan	nan	nan
FABP6	1.4153	1.39192	1.22392	0.842762	0.808585	0.559649
FABP7	nan	nan	nan	nan	nan	nan
FABP7P1	nan	nan	nan	nan	nan	nan
FABP7P2	nan	nan	nan	nan	nan	nan
FABP9	nan	nan	nan	nan	nan	nan
FADD	27.6385	29.209	28.4438	31.4182	28.2889	28.654
FADS1	105.258	98.3418	102.76	160.984	160.987	153.063
FADS2	625.248	613.922	631.092	807.768	823.43	786.625
FADS3	15.4018	16.4247	16.8574	11.8324	11.3664	12.3869
FADS6	nan	nan	nan	nan	nan	nan
FAF1	30.8452	30.4939	32.5561	26.1256	29.6981	27.1243
FAF2	139.241	139.042	139.053	125.538	127.283	125.287
FAF2P1	nan	nan	nan	nan	nan	nan
FAH	32.8016	33.9416	33.2906	32.1261	32.3088	33.2805
FAHD1	83.1364	82.9199	83.0773	66.7397	64.4337	63.9902
FAHD2A	12.8346	12.3559	13.353	11.3402	11.2337	10.0502
FAHD2B	3.00017	2.29812	2.40625	2.06546	2.32949	1.75579
FAHD2CP	0.623994	1.06252	1.48766	0.9456	0.839998	0.879413
FAHD2P1	nan	nan	nan	nan	nan	nan
FAIM	30.9285	30.5152	31.3648	35.2274	33.4177	32.3477
FAIM2	nan	nan	nan	nan	nan	nan
FAIM3	0.666023	0.706668	0.636436	1.01131	0.693072	0.895438
FAM101A	nan	nan	nan	nan	nan	nan
FAM101B	12.7377	12.6344	12.7614	16.0462	16.2525	16.6402
FAM102A	32.2463	36.7108	35.4142	34.9213	32.82	35.9845
FAM102B	8.11716	8.09455	7.47407	14.6641	14.3812	14.2524
FAM103A1	44.0812	46.5214	45.2895	31.6574	31.8366	31.9551
FAM103A2P	0.334258	0.611223	0.435973	0.367571	0.286684	0.279715
FAM104A	39.6392	37.2507	38.3686	33.701	33.225	31.9041
FAM104B	5.61957	5.41779	6.25014	4.65205	5.90266	4.85029
FAM105A	58.277	56.7476	57.3609	57.4089	62.8963	62.6434
FAM105B	58.5269	60.7522	57.8992	57.6788	57.8833	57.793
FAM106A	2.33578	2.49237	2.16703	2.87072	2.54451	2.46481
FAM106B	0.282551	0.154846	0.211148	0.182938	0.129379	0.144983
FAM106CP	nan	nan	nan	nan	nan	nan
FAM106DP	nan	nan	nan	nan	nan	nan
FAM107A	0.249759	0.192728	0.163189	0.235973	0.173268	0.261169
FAM107B	21.729	22.1422	23.189	23.5637	22.6286	24.9603
FAM108A10P	nan	nan	nan	nan	nan	nan
FAM108A8P	nan	nan	nan	nan	nan	nan
FAM108A9P	nan	nan	nan	nan	nan	nan
FAM109A	9.28271	9.61495	9.80763	12.4054	11.8052	12.76
FAM109B	0.208132	0.149899	0.212145	0.168552	0.231024	0.261169
FAM110A	9.65733	9.74534	10.0035	10.2143	9.41422	9.40211
FAM110B	30.3873	32.0784	31.1038	26.7324	27.076	26.7885
FAM110C	1.54018	2.05576	1.8114	1.55068	1.43235	1.15661
FAM110D	nan	nan	nan	nan	nan	nan
FAM111A	82.5451	82.5524	78.8833	68.4658	74.1229	72.0452
FAM111B	72.4294	67.9045	73.4999	79.9956	84.8083	85.3658
FAM114A1	35.2576	37.0894	34.7428	38.7671	40.2213	39.3992
FAM114A2	38.3796	36.2543	36.2604	29.7327	29.3629	28.8779
FAM115A	94.7404	90.7592	97.2793	143.374	146.284	141.608
FAM115B	3.5814	4.04155	3.34385	7.4115	8.12939	8.71344
FAM115C	0.986789	1.49652	0.939776	1.05077	0.820158	1.08673
FAM115D	nan	nan	nan	nan	nan	nan
FAM117A	11.6568	12.4859	11.702	8.96904	9.71765	9.0663
FAM117B	19.0233	19.5297	19.4032	13.5853	13.6996	13.2823
FAM118A	27.3486	27.4958	28.3132	22.9231	23.6915	23.953
FAM118B	29.0417	27.0823	28.2556	23.1437	22.5733	22.1647
FAM120A	319.684	316.393	312.827	315.199	336.939	337.474
FAM120AOS	61.1198	58.9137	62.476	65.04	61.4251	60.5789
FAM120B	19.8975	18.5661	19.1909	16.6867	18.8979	19.5131
FAM120C	20.6883	18.352	19.2236	30.4405	31.4079	30.7434
FAM122A	19.5644	19.5297	19.2726	21.3724	21.5892	23.8037
FAM122B	34.2587	37.4532	35.5589	41.4303	41.0987	41.0784
FAM122C	2.2062	2.35556	2.02354	1.71923	2.16008	2.42515
FAM124A	1.49855	1.07071	1.01177	2.19118	2.21783	2.01474
FAM124B	nan	nan	nan	nan	nan	nan
FAM126A	20.2304	19.1443	19.909	17.8329	18.4819	19.5504
FAM126B	35.4658	35.8689	32.4419	23.4963	23.553	25.5947
FAM127A	39.9198	44.0916	44.0444	35.3623	33.6025	33.8775
FAM127B	31.3446	36.661	37.6963	37.5198	39.5282	36.3024
FAM127C	0.0832954	0.0214142	0.294071	0.0337105	0.104003	0.111988
FAM129A	15.6931	15.6752	15.1929	11.765	12.5908	11.3422
FAM129B	162.135	172.877	167.203	166.124	163.455	164.797
FAM129C	nan	nan	nan	nan	nan	nan
FAM131A	9.65733	10.857	11.1458	12.9448	12.4753	13.0585
FAM131B	nan	nan	nan	nan	nan	nan
FAM131C	0.112824	0.107071	0.0979133	0.358263	0.219473	0.447719
FAM132A	0.457891	0.278385	0.424291	0.202263	0.346536	0.410409
FAM132B	0.499517	0.621012	0.669074	2.12376	1.75578	1.45509
FAM133A	nan	nan	nan	nan	nan	nan
FAM133B	44.4854	44.2562	46.0134	42.5412	42.2514	41.7065
FAM133CP	nan	nan	nan	nan	nan	nan
FAM133DP	0.570305	0.178353	0.293321	0.249748	0.146785	0.162841
FAM134A	52.1994	54.2635	51.6709	44.3138	42.7512	41.1902
FAM134B	7.11906	7.01849	7.63729	9.28662	10.9802	10.111
FAM134C	35.8406	36.2969	33.2912	30.4744	31.3959	32.9818
FAM135A	20.6883	19.8724	21.2472	18.5407	19.6717	20.1474
FAM135B	nan	nan	nan	nan	nan	nan
FAM136A	64.7715	62.572	63.7406	72.3759	69.6438	67.527
FAM136BP	nan	nan	nan	nan	nan	nan
FAM138A	nan	nan	nan	nan	nan	nan
FAM138B	nan	nan	nan	nan	nan	nan
FAM138C	nan	nan	nan	nan	nan	nan
FAM138D	nan	nan	nan	nan	nan	nan
FAM138E	nan	nan	nan	nan	nan	nan
FAM138F	0.0640742	0.0256176	0.181464	0.0340927	0.0296527	0.140027
FAM13A	25.157	24.0465	23.8139	20.8305	22.1144	23.2977
FAM13A-AS1	15.8034	18.4821	16.7712	7.72223	9.01611	8.49032
FAM13B	50.1911	50.8326	48.0289	49.0148	47.5445	49.5014
FAM13C	2.78897	2.0865	2.21937	4.55091	4.10083	4.47719
FAM149A	0.249759	0.192728	0.130551	0.977605	1.3455	0.671579
FAM149B1	23.2408	23.5701	24.5531	24.4532	24.3855	23.7746
FAM149B1P1	0.879401	0.792325	0.783306	0.674209	0.822775	1.38047
FAM150A	nan	nan	nan	nan	nan	nan
FAM150B	nan	nan	nan	nan	nan	nan
FAM151A	0.175834	0.266503	0.30777	0.219109	0.230544	0.29918
FAM151B	1.99807	2.16283	1.82772	2.59571	2.42575	2.76093
FAM153A	nan	nan	nan	nan	nan	nan
FAM153B	nan	nan	nan	nan	nan	nan
FAM153C	nan	nan	nan	nan	nan	nan
FAM154A	nan	nan	nan	nan	nan	nan
FAM154B	0.70765	0.728083	0.538523	0.404526	0.415843	0.298479
FAM155A	nan	nan	nan	nan	nan	nan
FAM155A-IT1	nan	nan	nan	nan	nan	nan
FAM155B	30.9285	31.7144	31.5281	32.3621	31.0958	30.7807
FAM156A	7.85737	8.05394	9.42585	6.2604	7.2738	7.93322
FAM156B	23.1127	22.8253	21.5638	24.5172	22.1934	17.9972
FAM157A	2.75103	1.80731	1.94596	2.24905	2.24853	2.01874
FAM157B	0.40654	0.587564	0.466819	0.480235	0.455102	0.645226
FAM157C	1.23729	0.85092	1.16992	1.41894	1.39087	0.875052
FAM159A	nan	nan	nan	nan	nan	nan
FAM159B	nan	nan	nan	nan	nan	nan
FAM160A1	11.3641	12.7414	11.358	9.23665	10.4308	10.708
FAM160A2	18.7319	21.093	20.7739	19.6869	18.0545	17.9461
FAM160B1	62.0232	59.3604	57.4751	49.4534	50.0288	47.9062
FAM160B2	23.9786	25.1665	24.1971	29.1257	28.3456	26.5274
FAM161A	4.66216	4.71112	5.12412	6.97807	7.33502	7.35007
FAM161B	4.50082	4.56803	4.39272	3.39263	4.11012	5.01809
FAM162A	105.988	100.114	107.651	77.4561	76.7594	75.7673
FAM162B	nan	nan	nan	nan	nan	nan
FAM163A	nan	nan	nan	nan	nan	nan
FAM163B	nan	nan	nan	nan	nan	nan
FAM166A	0.375457	0.257277	0.441608	0.269863	0.358478	0.634675
FAM166B	0.70765	0.535355	0.766988	0.943893	0.866341	0.895438
FAM167A	0.208132	0.192728	0.163189	0.168552	0.196371	0.14924
FAM167B	0.166506	0.128485	0.114232	0.235973	0.173268	0.22386
FAM168A	57.6526	55.9767	53.9176	55.0491	56.4392	57.4573
FAM168B	144.527	145.317	140.995	138.146	141.386	137.226
FAM169A	3.38663	3.619	3.6228	9.26434	9.89667	9.09311
FAM169B	nan	nan	nan	nan	nan	nan
FAM170A	nan	nan	nan	nan	nan	nan
FAM170B	nan	nan	nan	nan	nan	nan
FAM170B-AS1	nan	nan	nan	nan	nan	nan
FAM171A1	4.32915	4.92526	4.96094	7.0792	6.59574	6.82772
FAM171A2	2.70572	3.23354	2.88844	3.16878	2.8416	2.98479
FAM171B	0.166506	0.25697	0.277421	0.101131	0.0693072	0.0373099
FAM172A	13.5286	13.1269	12.9898	13.4842	15.2707	14.1405
FAM172BP	nan	nan	nan	nan	nan	nan
FAM173A	51.5335	56.2123	53.8034	48.7116	46.1586	48.4282
FAM173B	13.1123	14.0905	14.5401	16.7878	17.5924	17.0879
FAM174A	7.53439	7.90181	7.37614	6.77581	7.28881	7.49929
FAM174B	34.0921	36.297	36.6522	36.0028	34.6998	34.3997
FAM175A	2.25962	2.31712	2.76802	2.37524	2.59802	2.76628
FAM175B	23.3941	23.3629	22.7322	21.069	22.6057	23.0202
FAM177A1	72.9293	72.3588	72.3408	63.6452	64.1798	62.7181
FAM177A1P1	nan	nan	nan	nan	nan	nan
FAM177B	0.416265	0.642426	0.718031	0.438236	0.554458	0.559649
FAM178A	25.1837	26.4036	26.0445	28.2157	27.3532	27.2736
FAM178B	nan	nan	nan	nan	nan	nan
FAM179A	nan	nan	nan	nan	nan	nan
FAM179B	31.969	29.7228	27.579	24.3726	23.9224	24.8111
FAM180A	nan	nan	nan	nan	nan	nan
FAM180B	nan	nan	nan	nan	nan	nan
FAM181A	nan	nan	nan	nan	nan	nan
FAM181A-AS1	nan	nan	nan	nan	nan	nan
FAM181B	nan	nan	nan	nan	nan	nan
FAM182A	nan	nan	nan	nan	nan	nan
FAM182B	0.249759	0.192728	0.277606	0.404526	0.436379	0.447719
FAM183A	nan	nan	nan	nan	nan	nan
FAM183B	nan	nan	nan	nan	nan	nan
FAM183CP	nan	nan	nan	nan	nan	nan
FAM184A	1.12391	1.02788	1.28919	1.31471	1.40925	1.19392
FAM184B	0.346853	0.265912	0.332696	0.300062	0.131806	0.276164
FAM185A	7.34587	7.29191	7.54379	7.74826	7.45823	8.39152
FAM185BP	0.217625	0.110733	0.182175	0.138249	0.162018	0.193035
FAM186A	0.790903	0.642426	0.456929	0.809051	0.635316	0.447719
FAM186B	0.311434	0.772912	0.562344	0.903785	0.744785	1.03812
FAM187A	0.884658	0.78272	0.769745	0.892188	0.602304	0.627007
FAM187B	nan	nan	nan	nan	nan	nan
FAM188A	24.7677	22.4635	25.2291	19.9903	19.3598	19.8861
FAM188B	4.82491	5.739	5.76057	6.03184	6.20241	6.11852
FAM188B2	nan	nan	nan	nan	nan	nan
FAM189A1	0.58277	0.621012	0.554842	0.505657	0.404292	0.485029
FAM189A2	1.62343	1.56324	1.33815	1.281	1.51321	1.23123
FAM189B	29.7629	30.558	30.2062	50.3634	51.8537	50.1074
FAM192A	45.83	46.1467	49.2646	47.9024	51.4604	46.7862
FAM193A	18.4405	20.1936	19.2725	21.1702	21.5198	21.8264
FAM193B	29.9711	29.1875	27.0894	27.71	27.2032	27.6093
FAM194A	nan	nan	nan	nan	nan	nan
FAM194B	0.125516	0.241611	0.11608	0.168552	0.17799	0.150288
FAM195A	34.4251	35.5904	37.7292	38.8007	37.9225	37.5711
FAM195B	7.03554	8.37144	7.6417	6.55359	6.64189	5.6678
FAM196A	nan	nan	nan	nan	nan	nan
FAM196B	nan	nan	nan	nan	nan	nan
FAM197Y1	nan	nan	nan	nan	nan	nan
FAM197Y2	nan	nan	nan	nan	nan	nan
FAM197Y3	nan	nan	nan	nan	nan	nan
FAM197Y6	nan	nan	nan	nan	nan	nan
FAM197Y7	nan	nan	nan	nan	nan	nan
FAM197Y8	nan	nan	nan	nan	nan	nan
FAM197Y9	nan	nan	nan	nan	nan	nan
FAM198A	0.0416265	0.128485	0.0652755	0.134842	0.231024	0.14924
FAM198B	9.75868	10.6186	11.2466	12.4475	12.7577	13.7771
FAM199X	88.1223	87.4768	87.6164	92.5693	91.3689	90.9615
FAM19A1	nan	nan	nan	nan	nan	nan
FAM19A2	0.666023	0.66384	0.73435	0.471947	0.462048	0.671579
FAM19A3	nan	nan	nan	nan	nan	nan
FAM19A4	3.74638	3.44769	3.63911	2.79797	3.16503	3.13403
FAM19A5	nan	nan	nan	nan	nan	nan
FAM200A	4.12102	3.51193	3.94916	3.00023	3.62708	4.17872
FAM200B	11.2808	11.2425	11.309	14.1584	14.1271	14.6628
FAM201A	5.99421	5.93172	5.49945	6.16901	7.10401	7.72315
FAM201B	0.124879	0.0856568	0.163189	0.235973	0.265678	0.22386
FAM203A	29.5288	31.4226	28.1828	36.869	35.779	38.9194
FAM203B	1.35794	1.79073	2.28448	1.52709	2.69845	1.63626
FAM204A	27.2237	25.3544	27.3668	24.5689	26.4869	26.5274
FAM204BP	0.416265	0.66384	0.962814	0.815116	0.658419	0.634269
FAM204CP	nan	nan	nan	nan	nan	nan
FAM205A	0.166506	0.226314	0.106801	0.0674209	0.138614	0.0916199
FAM205B	nan	nan	nan	nan	nan	nan
FAM205CP	nan	nan	nan	nan	nan	nan
FAM206A	26.5577	26.4251	26.0776	24.2378	24.0612	23.953
FAM206BP	nan	nan	nan	nan	nan	nan
FAM207A	12.4081	13.2659	13.034	11.8225	13.4426	12.76
FAM207BP	3.10551	2.426	2.84848	2.63921	2.53048	3.05941
FAM207CP	nan	nan	nan	nan	nan	nan
FAM208A	60.2228	55.1417	55.341	58.5761	60.3503	60.7597
FAM208B	220.739	211.86	206.831	193.987	201.294	199.771
FAM209A	nan	nan	nan	nan	nan	nan
FAM209B	nan	nan	nan	nan	nan	nan
FAM20A	0.58277	0.513941	0.554842	0.404526	0.219473	0.335789
FAM20B	51.8249	49.4882	49.1198	55.2515	56.8435	58.9124
FAM20C	0.249759	0.128485	0.212145	0.404526	0.334985	0.447719
FAM210A	16.1094	15.0113	15.8293	15.8102	15.9291	16.7148
FAM210B	89.8299	88.976	91.3042	104.772	107.334	107.191
FAM210CP	nan	nan	nan	nan	nan	nan
FAM211A	1.32315	1.46144	1.58341	0.923812	1.27105	1.40816
FAM211B	18.7735	20.9645	19.9906	24.5749	22.5479	21.7517
FAM212A	nan	nan	nan	nan	nan	nan
FAM212B	6.74348	7.33841	8.50354	8.93328	7.80641	8.50666
FAM213A	nan	nan	nan	nan	nan	nan
FAM213B	26.4505	26.5683	28.6946	35.7866	35.3379	35.4761
FAM214A	185.487	187.023	182.249	120.267	120.665	122.295
