Gene	C42B_siZFX_rep1	C42B_siZFX_rep2	C42B_siZFX_rep3	C42B_siCtrl_rep1	C42B_siCtrl_rep2	C42B_siCtrl_rep3
5S_rRNA	nan	nan	nan	nan	nan	nan
7SK	nan	nan	nan	nan	nan	nan
ABC7-42389800N19.1	7.92052	7.29548	7.19272	7.84945	8.37525	8.11385
ABC7-43041300I9.1	0.213369	0.140772	0.441491	0.21014	0.188505	0.191284
ABCA1	0.666023	0.770911	0.554842	0.370815	0.242575	0.298479
ABCA10	0.126416	0.257194	0.360754	0.27193	0.173562	0.298479
ABCA11P	3.70536	4.27501	3.76016	5.2187	5.32183	5.31735
ABCA12	0.457891	0.513941	0.44061	0.539367	0.323434	0.596959
ABCA13	nan	nan	nan	nan	nan	nan
ABCA17P	2.70572	2.2699	2.8558	1.75294	1.95215	1.82819
ABCA2	106.147	104.801	101.927	138.01	136.123	134.389
ABCA3	55.2381	58.054	58.2421	62.3641	62.7122	62.4198
ABCA4	nan	nan	nan	nan	nan	nan
ABCA5	8.90806	8.97256	8.76325	7.92196	7.87793	8.09626
ABCA6	0.208132	0.128485	0.195827	0.101131	0.161717	0.18655
ABCA7	18.7736	18.1164	19.4847	21.2039	22.5134	21.2666
ABCA8	nan	nan	nan	nan	nan	nan
ABCA9	0.666023	0.899396	0.8649	0.370815	0.508253	0.22386
ABCA9-AS1	nan	nan	nan	nan	nan	nan
ABCB1	nan	nan	nan	nan	nan	nan
ABCB10	11.364	9.16528	9.77502	23.2265	23.8878	23.8784
ABCB10P1	nan	nan	nan	nan	nan	nan
ABCB10P3	nan	nan	nan	nan	nan	nan
ABCB10P4	nan	nan	nan	nan	nan	nan
ABCB11	1.08229	0.749497	0.946495	0.943893	1.36304	1.94012
ABCB4	0.416265	0.342627	0.489567	0.202263	0.358087	0.410409
ABCB5	nan	nan	nan	nan	nan	nan
ABCB6	92.6665	95.4372	93.3921	96.8855	90.0405	91.9678
ABCB7	29.7213	26.8963	29.4558	24.9121	23.0329	24.2514
ABCB8	37.0716	37.0737	36.6486	36.3229	34.4877	34.3195
ABCB9	9.60198	9.02829	9.04916	8.16465	7.8896	8.36057
ABCC1	156.349	152.362	146.739	157.16	158.212	157.151
ABCC10	14.3611	15.5681	15.3887	13.3493	13.5727	12.8346
ABCC11	0.597438	0.418438	0.267603	0.486786	0.424142	0.191238
ABCC12	nan	nan	nan	nan	nan	nan
ABCC13	nan	nan	nan	nan	nan	nan
ABCC2	0.749276	0.342627	0.375334	0.168552	0.265678	0.14924
ABCC3	nan	nan	nan	nan	nan	nan
ABCC4	329.618	320.146	318.717	274.715	280.327	277.618
ABCC5	57.486	60.8162	56.2674	38.3625	37.8417	38.5039
ABCC5-AS1	nan	nan	nan	nan	nan	nan
ABCC6	3.86291	4.62067	4.2101	4.65314	4.74966	3.97953
ABCC6P1	1.7259	1.87638	1.39647	2.08009	2.26468	2.23217
ABCC6P2	1.15468	0.976498	0.741482	0.817914	0.736529	0.839876
ABCC8	0.70765	0.856568	0.832263	0.70792	0.797033	0.559649
ABCC9	nan	nan	nan	nan	nan	nan
ABCD1	54.8638	60.1952	55.2886	76.9948	77.0463	81.6715
ABCD1P2	nan	nan	nan	nan	nan	nan
ABCD1P3	nan	nan	nan	nan	nan	nan
ABCD1P4	nan	nan	nan	nan	nan	nan
ABCD1P5	nan	nan	nan	nan	nan	nan
ABCD2	nan	nan	nan	nan	nan	nan
